the;그만큼
and;그리고
have;가지다
that;저것
for;~을 위한
you;너
with;~와 함께
say;말하다
this;이것
they;그들
but;하지만
his;그의
from;~에서
not;~ 아니다
she;그녀
as;~처럼
what;무엇
their;그들의
can;~할 수 있다
who;누구
get;가져 오기
would;~일 것이다
her;그녀의
all;모두
make;만들다
about;~에 대한
know;알다
will;~ 할 것이다
one;하나
time;시각
there;거기
year;년도
think;생각한다
when;언제
which;어느
them;그들을
some;약간
people;사람들
take;가져가다
out;밖으로
into;~ 안으로
just;단지
see;보다
him;그를
your;당신의
come;오다
could;~할 수 있었다
now;지금
than;~보다
like;처럼
other;다른
how;어떻게
then;그 다음에
its;그것의
our;우리의
two;둘
more;더
these;이것들
want;원하다
way;방법
look;바라보다
first;첫 번째
also;또한
new;새로운
because;왜냐하면
day;낮
use;사용
man;남성
find;찾기
here;여기
thing;물건
give;주다
many;많은
well;잘
only;뿐
those;저것들
tell;말하다
very;매우
even;조차
back;뒤
any;어느
good;좋은
woman;여성
through;~을 통해
life;삶
child;어린이
work;일하다
down;아래에
may;5월
after;~ 후에
should;~해야 한다
call;전화
world;세계
over;~ 위에
school;학교
still;아직
try;노력하다
last;마지막
ask;물어보기
need;필요
too;~도
feel;느끼다
three;삼
state;상태
never;절대
become;~이 되다
between;~ 사이
high;높은
really;진짜
something;무엇
most;대부분
another;또 다른
much;많이
family;가족
own;소유하다
leave;떠나다
put;놓다
old;낡은
while;동안
mean;평균
keep;유지하다
student;학생
why;왜
let;허락하다
great;엄청난
same;같은
big;큰
group;그룹
begin;시작하다
seem;~인 것 같다
country;국가
help;돕다
talk;말하다
where;어디
turn;회전하다
problem;문제
every;모든
start;시작
hand;손
might;~할 것 같다
American;미국 사람
show;보여 주다
part;부분
against;에 맞서
place;장소
such;그런
again;다시
few;약간의
case;사례
week;주
company;회사
system;체계
each;각
right;오른쪽
program;프로그램
hear;듣다
question;의문
during;~ 동안
play;플레이
government;정부
run;운영
small;작은
number;숫자
off;끄다
always;언제나
move;이동하다
night;밤
live;라이브
Mr;씨
point;가리키다
believe;믿다
hold;잡고 있다
today;오늘
bring;가져오다
happen;일어나다
next;다음
without;없이
before;~ 전에
large;크기가 큰
million;백만
must;~ 해야 하다
home;집
under;아래에
water;물
room;방
write;쓰다
mother;어머니
area;지역
national;국가의
money;돈
story;이야기
young;어린
fact;사실
month;월
different;다른
lot;많은
study;공부하다
book;책
eye;눈
job;직업
word;단어
though;그렇지만
business;사업
issue;문제
side;옆
kind;친절한
four;네
head;머리
far;멀리
black;검은색
long;긴
both;둘 다
little;작은
house;집
yes;예
since;~부터
provide;제공하다
service;서비스
around;주위에
friend;친구
important;중요한
father;아버지
sit;앉다
away;떨어져 있는
until;~까지
power;힘
hour;시
game;게임
often;자주
yet;아직
line;선
political;정치적인
end;끝
among;의 사이에
ever;항상
stand;서다
bad;나쁜
lose;잃다
however;하지만
member;회원
pay;지불
law;법
meet;만나다
car;자동차
city;도시
almost;거의
include;포함
continue;계속하다
set;세트
later;나중에
community;지역 사회
name;이름
five;다섯
once;한 번
white;하얀
least;최소
president;대통령
