the;a
and;e
have;tenho
that;este
for;por
you;vocês
with;com
say;dizer
this;isto
they;elas
but;mas
his;seu
from;a partir de
not;não
she;ela
as;Como
what;o que
their;seus
can;posso
who;quem
get;pegue
would;gostaria
her;sua
all;tudo
make;faço
about;cerca de
know;conhecer
will;vai
one;1
time;Tempo
there;lá
year;ano
think;acho
when;quando
which;que
them;eles
some;algum
people;pessoas
take;leva
out;Fora
into;em
just;apenas
see;Vejo
him;dele
your;sua
come;venha
could;poderia
now;agora
than;do que
like;Curti
other;outro
how;Como as
then;então
its;Está
our;nosso
two;dois
more;mais
these;esses
want;querer
way;caminho
look;olhar
first;primeiro
also;também
new;novo
because;Porque
day;dia
use;usar
man;cara
find;achar
here;aqui
thing;coisa
give;dar
many;muitos
well;Nós vamos
only;só
those;Essa
tell;dizer
very;muito
even;até
back;de volta
any;algum
good;Boa
woman;mulher
through;Através dos
life;vida
child;filho
work;trabalhar
down;baixa
may;poderia
after;depois
should;deve
call;ligar
world;mundo
over;sobre
school;escola
still;ainda
try;tentar
last;último
ask;perguntar
need;precisar
too;também
feel;sentir
three;três
state;Estado
never;Nunca
become;vir a ser
between;entre
high;Alto
really;verdade
something;algo
most;a maioria
another;outro
much;Muito de
family;família
own;ter
leave;sair
put;colocar
old;velho
while;enquanto
mean;significa
keep;guarda
student;aluna
why;Por quê
let;deixar
great;excelente
same;mesmo
big;grande
group;grupo
begin;começar
seem;parecer
country;país
help;ajuda
talk;conversa
where;Onde
turn;virar
problem;problema
every;todo
start;começar
hand;mão
might;poderia
American;americano
show;mostrar
part;papel
against;contra
place;Lugar, colocar
such;tal
again;novamente
few;alguns
case;caso
week;semana
company;companhia
system;sistema
each;cada
right;certo
program;programa
hear;ouvir
question;pergunta
during;durante
play;Toque
government;governo
run;corre
small;pequena
number;número
off;desligado
always;sempre
move;jogada
night;noite
live;viver
Mr;Senhor
point;ponto
believe;acreditam
hold;aguarde
today;hoje
bring;trazer
happen;acontecer
next;próximo
without;sem
before;antes da
large;ampla
million;milhão
must;devo
home;casa
under;debaixo
water;agua
room;quarto
write;Escreva
mother;mãe
area;área
national;nacional
money;dinheiro
story;história
young;jovem
fact;facto
month;mês
different;diferente
lot;muito
study;estudar
book;livro
eye;olho
job;trabalho
word;palavra
though;no entanto
business;o negócio
issue;questão
side;lado
kind;Gentil
four;quatro
head;cabeça
far;distante
black;Preto
long;grandes
both;Ambas
little;pequena
house;lar
yes;sim
since;desde
provide;providenciar
service;serviço
around;por aí
friend;amigo
important;importante
father;pai
sit;sentar
away;um jeito
until;até
power;potência
hour;hora
game;jogos
often;muitas vezes
yet;ainda
line;linha
political;político
end;fim
among;dentre
ever;sempre
stand;ficar
bad;mau
lose;perder
however;Contudo
member;membro
pay;pagar
law;lei
meet;encontrar
car;carro
city;cidade
almost;quase
include;incluir
continue;Prosseguir
set;definir
later;mais tarde
community;comunidade
name;nome
five;cinco
once;uma vez
white;branco
least;ao menos
president;Presidente
learn;aprender
real;real
change;mudança
team;equipe
minute;minuto
best;melhor
several;de várias
idea;idéia
kid;miúdo
body;corpo
information;em formação
nothing;nada
ago;atrás
lead;conduzir
social;social
understand;Compreendo
whether;se
watch;ver
together;juntos
follow;Segue
parent;pai
stop;Pare
face;enfrentar
anything;nada
create;crio
public;público
already;já
speak;falar
others;outros
read;ler
level;nível
allow;permitir
add;adicionar
office;escritório
spend;gasta
door;porta
health;saúde
person;pessoa
art;arte
sure;claro
war;guerra
history;história
party;Festa
within;dentro de
grow;crescer
result;resultado
open;abrir
morning;manhã
walk;andar
reason;razão
low;baixo
win;ganhar
research;pesquisar
girl;menina
guy;cara
early;cedo
food;Comida
moment;momento
himself;ele mesmo
air;ar
teacher;professora
force;força
offer;oferta
enough;o suficiente
education;Educação
across;através
although;Apesar
remember;lembrar
foot;pé
second;segundo
boy;Garoto
maybe;pode ser
toward;na direção
able;capaz
age;era
policy;política
everything;tudo
love;amor
process;processo
music;música
including;Incluindo
consider;considerar
appear;aparecer
actually;na realidade
buy;Comprar
probably;provavelmente
human;humano
wait;esperar
serve;servir
market;mercado
die;a
send;mandar
expect;Espero
sense;senso
build;construir
stay;fique
fall;cair
oh;oh
nation;nação
plan;plano
cut;cortar
college;faculdade
interest;interesse
death;morte
course;curso
someone;alguém
experience;experiência
behind;atras do
reach;alcançar
local;local
kill;matar
six;seis
remain;permanecer
effect;efeito
yeah;sim
suggest;sugerir
class;classe
control;ao controle
raise;levantar
care;Cuidado
perhaps;talvez
late;tarde
hard;duro
field;campo
else;senão
pass;passar
former;antigo
sell;vender
major;formar-se
sometimes;as vezes
require;exigir
along;ao longo
development;desenvolvimento
themselves;eles mesmos
report;relatório
role;Função
better;Melhor
economic;econômico
effort;esforço
decide;decidir
rate;avaliar
strong;Forte
possible;possível
heart;coração
drug;medicamento
leader;líder
light;leve
voice;voz
wife;esposa
whole;todo
police;polícia
mind;mente
finally;finalmente
pull;puxar
return;Retorna
free;gratuitamente
military;militares
price;preço
less;menos
according;de acordo com
decision;decisão
explain;explique
son;filho
hope;ter esperança
develop;desenvolve
view;Visão
relationship;relação
carry;carregar
town;Cidade
road;estrada
drive;dirigir
arm;braço
TRUE;VERDADE
federal;Federal
break;parar
difference;diferença
thank;obrigado
receive;receber
value;valor
international;internacional
building;prédio
action;ação
full;cheio
model;modelo
join;Junte
season;estação
society;sociedade
tax;imposto
director;diretor
position;posição
player;jogador
agree;aceita
especially;especialmente
record;registro
pick;escolha
wear;vestem
paper;papel
special;especial
space;espaço
ground;chão
form;Formato
support;Apoio, suporte
event;evento
official;oficial
whose;de quem
matter;matéria
everyone;todos
center;Centro
couple;casal
site;local
project;projeto
hit;acertar
base;base
activity;atividade
star;Estrela
table;tabela
court;quadra
produce;produzir
eat;comer
teach;Ensinar
oil;óleo
half;metade
situation;situação
easy;fácil
cost;custo
industry;indústria
figure;figura
street;rua
image;imagem
itself;em si
phone;telefone
either;qualquer
data;dados
cover;cobrir
quite;bastante
picture;foto
clear;Claro
practice;prática
piece;peça
land;terra
recent;recente
describe;descrever
product;produtos
doctor;médico
wall;muro
patient;paciente
worker;trabalhador
news;notícia
test;teste
movie;filme
certain;certo
north;norte
personal;pessoal
simply;simplesmente
third;terceiro
technology;tecnologia
catch;truque
step;degrau
baby;bebê
computer;computador
type;modelo
attention;atenção
draw;empate
film;filme
Republican;Republicano
tree;árvore
source;fonte
red;vermelho
nearly;por pouco
organization;organização
choose;escolher
cause;causa
hair;cabelo
century;século
evidence;evidência
window;janela
difficult;difícil
listen;ouço
soon;em breve
culture;cultura
billion;bilhão
chance;chance
brother;irmão
energy;energia
period;período
summer;verão
realize;entender
hundred;centenas
available;acessível
plant;plantar
likely;provável
opportunity;oportunidade
term;prazo
short;curto
letter;carta
condition;doença
choice;escolha
single;solteiro
rule;regra
daughter;filha
administration;administração
south;sul
husband;esposo
Congress;Congresso
floor;piso
campaign;campanha
material;material
population;população
economy;economia
medical;médico
hospital;hospital
church;igreja
close;perto
thousand;mil
risk;risco
current;atual
fire;incêndio
future;futuro
wrong;errado
involve;envolver
defense;defesa
anyone;alguém
increase;aumentar
security;segurança
bank;banco
myself;Eu mesmo
certainly;certamente
west;oeste
sport;esporte
board;quadro
seek;procurar
per;por
subject;sujeito
officer;Policial
private;privado
rest;descanso
behavior;comportamento
deal;acordo
performance;atuação
fight;lutar
throw;lançar
top;topo
quickly;rapidamente
past;passado
goal;meta
bed;cama
order;ordem
author;autor
fill;encher
represent;representar
focus;foco
foreign;estrangeiro
drop;derrubar
blood;sangue
upon;sobre
agency;agência
push;Empurre
nature;natureza
color;cor
recently;recentemente
store;armazenar
reduce;reduzir
sound;som
note;Nota
fine;multar
near;aproximar
movement;movimento
page;página
enter;digitar
share;compartilhar
common;comum
poor;pobre
natural;natural
race;corrida
concern;interesse
series;Series
significant;significativo
similar;semelhante
hot;quente
language;Língua
usually;usualmente
response;resposta
dead;morto
rise;subir
animal;animal
factor;fator
decade;década
article;artigo
shoot;atirar
east;leste
save;Salve 
seven;Sete
artist;artista
scene;cena
stock;estoque
career;carreira
despite;apesar de
central;central
eight;oito
thus;portanto
treatment;tratamento
beyond;além
happy;feliz
exactly;exatamente
protect;proteger
approach;abordagem
lie;mentira
size;Tamanho
dog;cão
fund;fundo
serious;sério
occur;ocorrer
media;meios de comunicação
ready;pronto
sign;sinal
thought;pensamento
list;Lista
individual;Individual
simple;simples
quality;qualidade
pressure;pressão
accept;aceitar
answer;responda
resource;recurso
identify;identificar
