the;в
and;а также
have;имеют
that;что
for;за
you;ты
with;с
say;сказать
this;это
they;Oни
but;но
his;его
from;из
not;нет
she;она
as;в качестве
what;какие
their;их
can;Можно
who;кто
get;получить
would;бы
her;ей
all;все
make;делать
about;о
know;знать
will;будут
one;один
time;время
there;там
year;год
think;считать
when;когда
which;который
them;их
some;немного
people;люди
take;брать
out;вне
into;в
just;просто
see;видеть
him;его
your;ваш
come;прийти
could;мог
now;в настоящее время
than;чем
like;как
other;Другой
how;как
then;тогда
its;это
our;наш
two;два
more;более
these;эти
want;хочу
way;путь
look;Смотреть
first;первый
also;также
new;новый
because;потому что
day;день
use;использовать
man;человек
find;найти
here;здесь
thing;вещь
give;дайте
many;много
well;Что ж
only;Только
those;те
tell;сказать
very;очень
even;даже
back;назад
any;Любые
good;хороший
woman;женщина
through;через
life;жизнь
child;ребенок
work;Работа
down;вниз
may;май
after;после
should;должен
call;вызов
world;Мир
over;над
school;школа
still;Все еще
try;пытаться
last;последний
ask;спросить
need;необходимость
too;слишком
feel;Чувствовать
three;три
state;государство
never;никогда
become;стали
between;между
high;высокая
really;В самом деле
something;что-нибудь
most;самый
another;еще один
much;много
family;семья
own;собственный
leave;оставлять
put;помещать
old;старый
while;пока
mean;иметь в виду
keep;хранить
student;ученик
why;Почему
let;позволять
great;большой
same;такой же
big;большой
group;группа
begin;начинать
seem;казаться
country;страна
help;помощь
talk;разговаривать
where;куда
turn;повернуть
problem;проблема
every;каждый
start;Начало
hand;рука
might;мощь
American;американский
show;показывать
part;часть
against;против
place;место
such;такой
again;опять таки
few;несколько
case;кейс
week;неделя
company;Компания
system;система
each;каждый
right;Правильно
program;программа
hear;слышать
question;вопрос
during;в течение
play;играть в
government;правительство
run;бежать
small;маленький
number;количество
off;выключенный
always;всегда
move;шаг
night;ночь
live;жить
Mr;г-н
point;точка
believe;полагать
hold;держать
today;Cегодня
bring;приносить
happen;случаться
next;следующий
without;без
before;до
large;большой
million;миллион
must;должен
home;дом
under;под
water;вода
room;номер
write;записывать
mother;мать
area;область
national;национальный
money;Деньги
story;история
young;молодой
fact;факт
month;месяц
different;другой
lot;много
study;исследование
book;книга
eye;глаз
job;работа
word;слово
though;хотя
business;бизнес
issue;проблема
side;сторона
kind;Добрый
four;четыре
head;глава
far;далеко
black;черный
long;длинная
both;оба
little;маленький
house;дом
yes;да
since;поскольку
provide;предоставлять
service;оказание услуг
around;около
friend;друг
important;важный
father;отец
sit;сидеть
away;прочь
until;до того как
power;сила
hour;час
game;игра
often;довольно часто
yet;пока что
line;линия
political;политический
end;конец
among;среди
ever;Когда-либо
stand;стоять
bad;Плохо
lose;терять
however;Однако
member;член
pay;платить
law;закон
meet;встретиться
car;автомобиль
city;город
almost;почти
include;включают
continue;Продолжать
set;установлен
later;потом
community;сообщество
name;имя
five;пять
once;однажды
white;белый
least;наименее
president;президент
learn;учиться
real;настоящий
change;сдача
team;команда
minute;минута
best;Лучший
several;несколько
idea;идея
kid;ребенок
body;тело
information;Информация
nothing;ничего такого
ago;назад
lead;привести
social;Социальное
understand;понять
whether;будь то
watch;смотреть
together;вместе
follow;следить
parent;родитель
stop;остановка
face;лицо
anything;что-либо
create;Создайте
public;публичный
already;уже
speak;говорить
others;другие
read;читать
level;уровень
allow;разрешать
add;добавлять
office;офис
spend;проводить
door;дверь
health;здоровье
person;человек
art;искусство
sure;Конечно
war;война
history;история
party;партия
within;в пределах
grow;расти
result;результат
open;открытым
morning;утро
walk;ходить
reason;причина
low;низкий
win;победить
research;исследовательская работа
girl;девочка
guy;парень
early;рано
food;еда
moment;момент
himself;сам
air;воздуха
teacher;учитель
force;сила
offer;предложение
enough;достаточно
education;образование
across;через
although;несмотря на то что
remember;запомнить
foot;ступня
second;второй
boy;мальчик
maybe;может быть
toward;к
able;способный
age;возраст
policy;политика
everything;все
love;любовь
process;процесс
music;Музыка
including;включая
consider;рассмотреть возможность
appear;появляться
actually;фактически
buy;купить
probably;вероятно
human;человек
wait;ждать
serve;обслуживать
market;рынок
die;в
send;Отправить
expect;ожидать
sense;смысл
build;строить
stay;остаться
fall;падение
oh;ой
nation;нация
plan;план
cut;резать
college;колледж
interest;интерес
death;смерть
course;курс
someone;кто то
experience;опыт
behind;позади
reach;достигать
local;местный
kill;убийство
six;шесть
remain;оставаться
effect;эффект
yeah;Да
suggest;предложить
class;учебный класс
