the;das
and;und
have;haben
that;das
for;zum
you;Sie
with;mit
say;sagen
this;Dies
they;sie
but;aber
his;seine
from;aus
not;nicht
she;sie
as;wie
what;was
their;ihr
can;kann
who;wer
get;erhalten
would;möchten
her;Sie
all;alle
make;machen
about;um
know;kennt
will;Wille
one;eines
time;Zeit
there;dort
year;Jahr
think;denken
when;Wenn
which;die
them;Sie
some;etwas
people;Personen
take;nehmen
out;aus
into;hinein
just;nur
see;sehen
him;ihn
your;dein
come;Kommen Sie
could;könnte
now;jetzt
than;als
like;wie
other;Sonstiges
how;wie
then;dann
its;es ist
our;unser
two;zwei
more;mehr
these;diese
want;wollen
way;Weg
look;sehen
first;Erste
also;Auch
new;Neu
because;Weil
day;Tag
use;verwenden
man;Mann
find;finden
here;hier
thing;Ding
give;geben
many;viele
well;Gut
only;nur
those;diese
tell;erzählen
very;sehr
even;eben
back;der Rücken
any;irgendein
good;gut
woman;Frau
through;durch
life;Leben
child;Kind
work;Arbeit
down;Nieder
may;kann
after;nach
should;sollte
call;Anruf
world;Welt
over;Über
school;Schule
still;still
try;Versuchen
last;letzte
ask;Fragen
need;brauchen
too;zu
feel;Gefühl
three;drei
state;Zustand
never;noch nie
become;werden
between;zwischen
high;hoch
really;Ja wirklich
something;etwas
most;die meisten
another;Ein weiterer
much;viel
family;Familie
own;besitzen
leave;verlassen
put;stellen
old;alt
while;während
mean;bedeuten
keep;behalten
student;Schüler
why;warum
let;Lassen
great;Großartig
same;gleich
big;groß
group;Gruppe
begin;Start
seem;erscheinen
country;Land
help;Hilfe
talk;sich unterhalten
where;wo
turn;drehen
problem;Problem
every;jeder
start;Anfang
hand;Hand
might;könnte
American;amerikanisch
show;Show
part;Teil
against;gegen
place;Platz
such;eine solche
again;wieder
few;wenig
case;Fall
week;Woche
company;Gesellschaft
system;System
each;jeder
right;Rechts
program;Programm
hear;hören
question;Frage
during;während
play;abspielen
government;Regierung
run;Lauf
small;klein
number;Nummer
off;aus
always;stets
move;Bewegung
night;Nacht
live;live
Mr;Herr
point;Punkt
believe;glauben
hold;halt
today;heute
bring;bringen
happen;passieren
next;nächste
without;ohne
before;Vor
large;groß
million;Million
must;muss
home;Heimat
under;unter
water;Wasser
room;Zimmer
write;schreiben
mother;Mutter
area;Bereich
national;National
money;Geld
story;Geschichte
young;jung
fact;Tatsache
month;Monat
different;anders
lot;viel
study;lernen
book;Buchen
eye;Auge
job;Arbeit
word;Wort
though;obwohl
business;Geschäft
issue;Ausgabe
side;Seite
kind;nett
four;vier
head;Kopf
far;weit
black;Schwarz
long;lang
both;beide
little;wenig
house;Haus
yes;Jawohl
since;seit
provide;zur Verfügung stellen
service;Service
around;um
friend;Freund
important;wichtig
father;Vater
sit;mach Sitz
away;ein Weg
until;bis um
power;Energie
hour;Stunde
game;Spiel
often;häufig
yet;noch
line;Linie
political;politisch
end;Ende
among;unter
ever;je
stand;Stand
bad;Schlecht
lose;verlieren
however;jedoch
member;Mitglied
pay;Zahlen
law;Gesetz
meet;Treffen
car;Wagen
city;Stadt
almost;fast
include;enthalten
continue;fortsetzen
set;einstellen
later;später
community;Gemeinschaft
name;Name
five;fünf
once;einmal
white;Weiß
least;am wenigsten
president;Präsident
learn;lernen
real;real
change;Rückgeld
team;Mannschaft
minute;Minute
best;Beste
several;mehrere
idea;Idee
kid;Kind
body;Karosserie
information;Information
nothing;nichts
ago;vor
lead;führen
social;Sozial
understand;verstehe
whether;ob
watch;Uhr
together;zusammen
follow;Folgen
parent;Elternteil
stop;Pause
face;Gesicht
anything;irgendetwas
create;schaffen
public;Öffentlichkeit
already;schon
speak;sprechen
others;Andere
read;lesen
level;eben
allow;ermöglichen
add;hinzufügen
office;Büro
spend;verbringen
door;Tür
health;die Gesundheit
person;Person
art;Kunst
sure;sicher
war;Krieg
history;Geschichte
party;Party
within;innerhalb
grow;größer werden
result;Ergebnis
open;offen
morning;Morgen
walk;Spaziergang
reason;Grund
low;niedrig
win;gewinnen
research;Forschung
girl;Mädchen
guy;Kerl
early;frühzeitig
food;Lebensmittel
moment;Moment
himself;selbst
air;Luft
teacher;Lehrer
force;Macht
offer;Angebot
enough;genügend
education;Ausbildung
across;über
although;obwohl
remember;denken Sie daran
foot;Fuß
second;zweite
boy;Junge
maybe;kann sein
toward;zu
able;fähig
age;das Alter
policy;Politik
everything;alles
love;Liebe
process;Prozess
music;Musik
including;einschließlich
consider;Erwägen
appear;erscheinen
actually;eigentlich
buy;Kaufen
probably;wahrscheinlich
human;Mensch
wait;Warten
serve;Dienen
market;Markt
die;das
send;senden
expect;erwarten von
sense;Sinn
build;bauen
stay;bleibe
fall;Herbst
oh;oh
nation;Nation
plan;planen
cut;schneiden
college;Uni
interest;Interesse
death;Tod
course;Kurs
someone;jemand
experience;Erfahrung
behind;hinter
reach;erreichen
local;lokal
kill;töten
six;sechs
remain;bleiben übrig
effect;Wirkung
yeah;ja
suggest;empfehlen
class;Klasse
control;Kontrolle
raise;heben
care;Pflege
perhaps;vielleicht
late;spät
hard;schwer
field;aufstellen
else;anders
pass;passieren
former;ehemalige
sell;verkaufen
major;Haupt
sometimes;manchmal
require;benötigen
along;eine lange
development;Entwicklung
themselves;sich
report;Bericht
role;Rolle
better;besser
economic;wirtschaftlich
effort;Anstrengung
decide;sich entscheiden
rate;Bewertung
strong;stark
possible;möglich
heart;Herz
drug;Arzneimittel
leader;Führer
light;hell
voice;Stimme
wife;Ehefrau
whole;ganz
police;Polizei
mind;Geist
finally;endlich
pull;ziehen
return;Rückkehr
free;frei
military;Militär-
price;Preis
less;weniger
according;gemäß
decision;Entscheidung
explain;erklären
son;Sohn
hope;Hoffnung
develop;sich entwickeln
view;Aussicht
relationship;Beziehung
carry;tragen
town;Stadt, Dorf
road;Straße
drive;Fahrt
arm;Arm
