the;itu
and;dan
have;memiliki
that;itu
for;untuk
you;Anda
with;dengan
say;mengatakan
this;ini
they;mereka
but;tetapi
his;miliknya
from;dari
not;bukan
she;dia
as;sebagai
what;Apa
their;milik mereka
can;bisa
who;siapa
get;Dapatkan
would;akan
her;dia
all;semua
make;membuat
about;tentang
know;tahu
will;akan
one;satu
time;waktu
there;di sana
year;tahun
think;memikirkan
when;Kapan
which;yang
them;mereka
some;beberapa
people;rakyat
take;mengambil
out;keluar
into;ke dalam
just;hanya
see;melihat
him;dia
your;milikmu
come;datang
could;bisa
now;sekarang
than;dibandingkan
like;Suka
other;lainnya
how;bagaimana
then;kemudian
its;-nya
our;kita
two;dua
more;lagi
these;ini
want;ingin
way;cara
look;Lihat
first;pertama
also;juga
new;baru
because;karena
day;hari
use;menggunakan
man;pria
find;Temukan
here;di sini
thing;hal
give;memberi
many;banyak
well;dengan baik
only;hanya
those;itu
tell;memberi tahu
very;sangat
even;bahkan
back;kembali
any;setiap
good;bagus
woman;wanita
through;melalui
life;kehidupan
child;anak
work;kerja
down;turun
may;mungkin
after;setelah
should;Sebaiknya
call;panggilan
world;dunia
over;lebih
school;sekolah
still;tetap
try;mencoba
last;terakhir
ask;bertanya
need;membutuhkan
too;juga
feel;merasa
three;tiga
state;negara
never;tidak pernah
become;menjadi
between;di antara
high;tinggi
really;Betulkah
something;sesuatu
most;paling
another;lain
much;banyak
family;keluarga
own;memiliki
leave;meninggalkan
put;taruh
old;tua
while;ketika
mean;berarti
keep;menyimpan
student;murid
why;mengapa
let;membiarkan
great;Bagus
same;sama
big;besar
group;kelompok
begin;mulai
seem;terlihat
country;negara
help;Tolong
talk;bicara
where;di mana
turn;belok
problem;masalah
every;setiap
start;Mulailah
hand;tangan
might;mungkin
American;Amerika
show;menunjukkan
part;bagian
against;melawan
place;tempat
such;seperti
again;lagi
few;sedikit
case;kasus
week;pekan
company;perusahaan
system;sistem
each;setiap
right;Baik
program;program
hear;mendengar
question;pertanyaan
during;selama
play;bermain
government;pemerintah
run;Lari
small;kecil
number;nomor
off;mati
always;selalu
move;bergerak
night;malam
live;hidup
Mr;Tn
point;titik
believe;meyakini
hold;memegang
today;hari ini
bring;membawa
happen;terjadi
next;Berikutnya
without;tanpa
before;sebelum
large;besar
million;juta
must;harus
home;rumah
under;dibawah
water;air
room;kamar
write;menulis
mother;ibu
area;daerah
national;Nasional
money;uang
story;cerita
young;muda
fact;fakta
month;bulan
different;berbeda
lot;banyak
study;belajar
book;buku
eye;mata
job;pekerjaan
word;kata
though;meskipun
business;bisnis
issue;masalah
side;samping
kind;jenis
four;empat
head;kepala
far;jauh
black;hitam
long;panjang
both;keduanya
little;kecil
house;rumah
yes;Ya
since;sejak
provide;menyediakan
service;melayani
around;sekitar
friend;teman
important;penting
father;ayah
sit;duduk
away;jauh
until;sampai
power;kekuasaan
hour;jam
game;permainan
often;sering
yet;belum
line;garis
political;politik
end;akhir
among;di antara
ever;pernah
stand;berdiri
bad;buruk
lose;kehilangan
however;namun
member;anggota
pay;membayar
law;hukum
meet;bertemu
car;mobil
city;kota
almost;hampir
include;termasuk
continue;melanjutkan
set;mengatur
later;nanti
community;masyarakat
name;nama
five;lima
once;satu kali
white;putih
least;paling sedikit
president;Presiden
learn;mempelajari
real;nyata
change;mengubah
team;tim
minute;menit
best;terbaik
several;beberapa
idea;ide
kid;anak
body;tubuh
information;informasi
nothing;tidak ada
ago;yang lalu
lead;memimpin
social;sosial
understand;memahami
whether;apakah
watch;jam tangan
together;bersama
follow;mengikuti
parent;induk
stop;berhenti
face;wajah
anything;apa pun
create;membuat
public;publik
already;sudah
speak;berbicara
others;yang lain
read;Baca
level;tingkat
allow;mengizinkan
add;menambahkan
office;kantor
spend;membelanjakan
door;pintu
health;kesehatan
person;orang
art;seni
sure;Tentu
war;perang
history;sejarah
party;berpesta
within;di dalam
grow;tumbuh
result;hasil
open;membuka
morning;pagi
walk;berjalan
reason;alasan
low;rendah
win;menang
research;riset
girl;gadis
guy;pria
early;lebih awal
food;makanan
moment;momen
himself;diri
air;udara
teacher;guru
force;memaksa
offer;menawarkan
enough;cukup
education;pendidikan
across;lintas
although;meskipun
remember;ingat
foot;kaki
second;kedua
boy;anak laki-laki
maybe;mungkin
toward;ke arah
able;sanggup
age;usia
policy;aturan
everything;semuanya
love;cinta
process;proses
music;musik
including;termasuk
consider;mempertimbangkan
appear;muncul
actually;sebenarnya
buy;membeli
probably;mungkin
human;manusia
wait;tunggu
serve;melayani
market;pasar
die;itu
send;Kirim
expect;mengharapkan
sense;nalar
build;membangun
stay;tinggal
fall;jatuh
oh;oh
nation;bangsa
plan;rencana
cut;memotong
college;kampus
interest;minat
death;kematian
course;kursus
someone;seseorang
experience;pengalaman
behind;di belakang
reach;mencapai
local;lokal
kill;membunuh
six;enam
remain;tetap
effect;memengaruhi
yeah;ya
suggest;menyarankan
class;kelas
control;kontrol
raise;menaikkan
care;peduli
perhaps;mungkin
late;terlambat
hard;keras
field;bidang
else;kalau tidak
pass;lulus
former;mantan
sell;menjual
major;besar
sometimes;kadang-kadang
require;memerlukan
along;bersama
development;perkembangan
themselves;diri
report;laporan
role;peran
better;lebih baik
economic;ekonomis
effort;upaya
decide;memutuskan
rate;kecepatan
strong;kuat
possible;mungkin
heart;jantung
drug;obat
leader;pemimpin
light;lampu
voice;suara
wife;istri
whole;utuh
police;POLISI
mind;pikiran
finally;akhirnya
pull;menarik
return;kembali
free;Gratis
military;militer
price;harga
less;lebih sedikit
according;menurut
decision;keputusan
explain;menjelaskan
son;putra
hope;harapan
develop;mengembangkan
view;melihat
relationship;hubungan
carry;membawa
town;kota
road;jalan
drive;menyetir
arm;lengan
TRUE;BENAR
federal;federal
break;merusak
difference;perbedaan
thank;terima kasih
receive;menerima
value;nilai
international;internasional
building;bangunan
action;tindakan
full;penuh
model;model
join;Ikuti
season;musim
society;masyarakat
tax;pajak
director;Direktur
position;posisi
player;pemain
agree;setuju
especially;khususnya
record;catatan
pick;memilih
wear;memakai
paper;kertas
special;spesial
space;ruang angkasa
ground;tanah
form;membentuk
support;mendukung
event;peristiwa
official;resmi
whose;yang
matter;urusan
everyone;setiap orang
center;tengah
couple;pasangan
site;lokasi
project;proyek
hit;memukul
base;basis
activity;aktivitas
star;bintang
table;meja
court;pengadilan
produce;menghasilkan
eat;makan
teach;mengajar
oil;minyak
half;setengah
situation;situasi
easy;mudah
cost;biaya
industry;industri
figure;angka
street;jalan
image;gambar
itself;diri
phone;telepon
either;salah satu
data;data
cover;menutupi
quite;lumayan
picture;gambar
clear;jernih
practice;praktek
piece;bagian
land;tanah
recent;terkini
describe;menggambarkan
product;produk
doctor;dokter
wall;dinding
patient;pasien
worker;pekerja
news;berita
test;uji
movie;film
certain;yakin
north;utara
personal;pribadi
simply;secara sederhana
third;ketiga
technology;teknologi
catch;menangkap
step;melangkah
baby;bayi
computer;komputer
type;Tipe
attention;perhatian
draw;seri
film;film
Republican;Republik
tree;pohon
source;sumber
red;merah
nearly;hampir
organization;organisasi
choose;memilih
cause;sebab
hair;rambut
century;abad
evidence;bukti
window;jendela
difficult;sulit
listen;mendengarkan
soon;segera
culture;budaya
billion;miliar
chance;peluang
brother;saudara laki-laki
energy;energi
period;Titik
summer;musim panas
realize;menyadari
hundred;ratus
available;tersedia
plant;tanaman
likely;mungkin
opportunity;peluang
term;ketentuan
short;pendek
letter;surat
condition;kondisi
choice;pilihan
single;lajang
rule;aturan
daughter;anak perempuan
administration;administrasi
south;Selatan
husband;suami
Congress;Kongres
floor;lantai
campaign;kampanye
material;bahan
population;populasi
economy;ekonomi
medical;medis
hospital;RSUD
church;gereja
close;menutup
thousand;ribu
risk;mempertaruhkan
current;saat ini
fire;api
future;masa depan
wrong;salah
involve;melibatkan
defense;pertahanan
anyone;siapa pun
increase;meningkat
security;keamanan
bank;bank
myself;saya sendiri
certainly;tentu
west;Barat
sport;olahraga
board;papan
seek;mencari
per;per
subject;subjek
officer;petugas
private;pribadi
rest;istirahat
behavior;perilaku
deal;Sepakat
performance;pertunjukan
fight;bertarung
throw;melemparkan
top;atas
quickly;dengan cepat
past;masa lalu
goal;sasaran
bed;tempat tidur
order;memesan
author;pengarang
fill;mengisi
represent;mewakili
focus;fokus
foreign;luar negeri
drop;menjatuhkan
blood;darah
upon;pada
agency;agen
push;dorongan
nature;alam
color;warna
recently;baru-baru ini
store;toko
reduce;mengurangi
sound;suara
note;catatan
fine;Bagus
near;di dekat
movement;pergerakan
page;halaman
enter;memasuki
share;Bagikan
common;umum
poor;miskin
natural;alami
race;balapan
concern;kekhawatiran
series;seri
significant;penting
similar;serupa
hot;panas
language;bahasa
usually;biasanya
response;tanggapan
dead;mati
rise;bangkit
animal;satwa
factor;faktor
decade;dasawarsa
article;artikel
shoot;menembak
east;timur
save;menyimpan
seven;tujuh
artist;artis
scene;pemandangan
stock;persediaan
career;karier
despite;meskipun
central;pusat
eight;delapan
thus;dengan demikian
treatment;perlakuan
beyond;di luar
happy;senang
exactly;tepat
protect;melindungi
approach;mendekati
lie;berbohong
size;ukuran
dog;anjing
fund;dana
serious;serius
occur;terjadi
media;media
ready;siap
sign;tanda
thought;pikiran
list;daftar
individual;individu
simple;sederhana
quality;kualitas
pressure;tekanan
accept;menerima
answer;menjawab
resource;sumber
identify;mengenali
left;kiri
meeting;pertemuan
determine;menentukan
prepare;mempersiapkan
disease;penyakit
whatever;apa pun
success;kesuksesan
argue;membantah
cup;cangkir
particularly;khususnya
amount;jumlah
ability;kemampuan
staff;staf
recognize;mengenali
indicate;menunjukkan
character;karakter
growth;pertumbuhan
loss;kehilangan
degree;derajat
wonder;bertanya-tanya
attack;menyerang
herself;diri
region;wilayah
television;televisi
box;kotak
TV;televisi
training;pelatihan
pretty;cantik
trade;berdagang
election;pemilihan
everybody;semua orang
physical;fisik
lay;berbaring
general;umum
feeling;merasa
standard;standar
bill;tagihan
message;pesan
fail;gagal
outside;di luar
arrive;tiba
analysis;analisis
benefit;keuntungan
sex;seks
forward;maju
lawyer;pengacara
present;hadiah
section;bagian
environmental;lingkungan
glass;kaca
skill;keahlian
sister;saudari
PM;PM
professor;profesor
operation;operasi
financial;keuangan
crime;kejahatan
stage;panggung
ok;Oke
compare;membandingkan
authority;otoritas
miss;merindukan
design;rancangan
sort;menyortir
act;bertindak
ten;sepuluh
knowledge;pengetahuan
gun;senjata
station;stasiun
blue;biru
strategy;strategi
clearly;jelas
discuss;Bahas
indeed;memang
truth;kebenaran
song;lagu
example;contoh
democratic;demokratis
check;memeriksa
environment;lingkungan
leg;kaki
dark;gelap
various;berbagai
rather;lebih tepatnya
laugh;tertawa
guess;Tebak
executive;eksekutif
prove;membuktikan
hang;menggantung
entire;seluruh
rock;batu
forget;lupa
claim;mengeklaim
remove;menghapus
manager;Pengelola
enjoy;Nikmati
network;jaringan
legal;hukum
religious;keagamaan
cold;dingin
final;terakhir
main;utama
science;sains
green;hijau
memory;Penyimpanan
card;kartu
above;di atas
seat;kursi
cell;sel
establish;mendirikan
nice;baik
trial;uji coba
expert;ahli
spring;musim semi
firm;tegas
Democrat;Demokrat
radio;radio
visit;mengunjungi
management;pengelolaan
avoid;menghindari
imagine;membayangkan
tonight;malam ini
huge;sangat besar
ball;bola
finish;menyelesaikan
yourself;dirimu sendiri
theory;teori
impact;dampak
respond;menanggapi
statement;penyataan
maintain;menjaga
charge;mengenakan biaya
popular;populer
traditional;tradisional
onto;ke
reveal;mengungkap
direction;arah
weapon;senjata
employee;karyawan
cultural;kultural
contain;berisi
peace;perdamaian
pain;rasa sakit
apply;berlaku
measure;ukuran
wide;lebar
shake;menggoyang
fly;terbang
interview;wawancara
manage;mengelola
chair;kursi
fish;ikan
particular;tertentu
camera;kamera
structure;struktur
