the;de
and;en
have;hebben
that;Dat
for;voor
you;jij
with;met
say;zeggen
this;deze
they;zij
but;maar
his;zijn
from;van
not;niet
she;zij
as;net zo
what;wat
their;hun
can;kan
who;wie
get;krijgen
would;zou
her;haar
all;allemaal
make;maken
about;over
know;weten
will;zullen
one;een
time;tijd
there;daar
year;jaar
think;denken
when;wanneer
which;welke
them;hen
some;sommige
people;mensen
take;nemen
out;uit
into;naar binnen
just;alleen maar
see;zien
him;hem
your;uw
come;komen
could;kon
now;nu
than;dan
like;Leuk vinden
other;ander
how;hoe
then;dan
its;zijn
our;ons
two;twee
more;meer
these;deze
want;willen
way;manier
look;Look
first;eerst
also;ook
new;nieuwe
because;omdat
day;dag
use;gebruiken
man;Mens
find;vind
here;hier
thing;ding
give;verlenen
many;veel
well;goed
only;enkel en alleen
those;die
tell;vertellen
very;erg
even;ook al
back;rug
any;elk
good;goed
woman;vrouw
through;door
life;leven
child;kind
work;werk
down;omlaag
may;kunnen
after;na
should;zou moeten
call;telefoongesprek
world;wereld-
over;over
school;school
still;nog altijd
try;proberen
last;laatst
ask;vragen
need;nodig hebben
too;te
feel;voelen
three;drie
state;staat
never;nooit
become;worden
between;tussen
high;hoog
really;Echt
something;iets
most;meest
another;een ander
much;veel
family;familie
own;eigen
leave;vertrekken
put;leggen
old;oud
while;terwijl
mean;gemeen
keep;houden
student;leerling
why;waarom
let;laten
great;groot
same;dezelfde
big;groot
group;groep
begin;beginnen
seem;lijken
country;land
help;helpen
talk;praten
where;waar
turn;draai
problem;probleem
every;elk
start;begin
hand;hand
might;macht
American;Amerikaans
show;show
part;een deel
against;tegen
place;plaats
such;zo een
again;opnieuw
few;Enkele
case;geval
week;week
company;bedrijf
system;systeem
each;elk
right;Rechtsaf
program;programma
hear;horen
question;vraag
during;gedurende
play;Speel
government;regering
run;rennen
small;klein
number;nummer
off;uit
always;altijd
move;Actie
night;nacht
live;live
Mr;Dhr
point;punt
believe;geloven
hold;uitstel
today;vandaag
bring;brengen
happen;happen
next;De volgende
without;zonder
before;voordat
large;groot
million;miljoen
must;moeten
home;huis
under;onder
water;water
room;kamer
write;schrijven
mother;moeder
area;Oppervlakte
national;nationaal
money;geld
story;verhaal
young;jong
fact;feit
month;maand
different;verschillend
lot;kavel
study;studie
book;boek
eye;oog
job;functie
word;woord
though;hoewel
business;bedrijf
issue;kwestie
side;kant
kind;vriendelijk
four;vier
head;hoofd
far;ver
black;zwart
long;lang
both;beide
little;klein
house;huis
yes;ja
since;sinds
provide;voorzien in
service;onderhoud
around;in de omgeving van
friend;vriend
important;belangrijk
father;vader
sit;zitten
away;weg
until;tot
power;stroom
hour;uur
game;spel
often;vaak
yet;nog
line;lijn
political;politiek
end;einde
among;tussen
ever;ooit
stand;stellage
bad;slechte
lose;verliezen
however;echter
member;lid
pay;betalen
law;wet
meet;voldoen aan
car;auto
city;stad
almost;bijna
include;erbij betrekken
continue;doorgaan
set;set
later;later
community;gemeenschap
name;naam
five;vijf
once;een keer
white;wit
least;minst
president;president
learn;leren
real;echt
change;Wijzigen
team;team
minute;minuut
best;het beste
several;meerdere
idea;idee
kid;kind
body;lichaam
information;informatie
nothing;niets
ago;geleden
lead;lood
social;sociaal
understand;begrijpen
whether;of
watch;horloge
together;samen
follow;volgen
parent;ouder
stop;hou op
face;gezicht
anything;iets
create;creëren
public;openbaar
already;al
speak;spreken
others;anderen
read;lezen
level;niveau
allow;toestaan
add;toevoegen
office;kantoor
spend;besteden
door;deur-
health;Gezondheid
person;persoon
art;kunst
sure;zeker wel
war;oorlog
history;geschiedenis
party;partij
within;binnenin
grow;groeien
result;resultaat
open;open
morning;ochtend
walk;wandelen
reason;reden
low;laag
win;winnen
research;Onderzoek
girl;meisje
guy;jongen
early;vroeg
food;voedsel
moment;moment
himself;zichzelf
air;lucht
teacher;docent
force;kracht
offer;bieden
enough;genoeg
education;opleiding
across;over
although;hoewel
remember;herinneren
foot;voet
second;seconde
boy;jongen
maybe;kan zijn
toward;in de richting van
able;bekwaam
age;leeftijd
policy;beleid
everything;alles
love;liefde
process;werkwijze
music;muziek
including;inclusief
consider;beschouwen
appear;tevoorschijn komen
actually;eigenlijk
buy;kopen
probably;waarschijnlijk
human;menselijk
wait;wacht
serve;dienen
market;markt
die;de
send;versturen
expect;verwachten
sense;gevoel
build;bouwen
stay;blijven
fall;val
oh;oh
nation;natie
plan;plan
cut;snee
college;middelbare school
interest;interesse
death;dood
course;Cursus
someone;iemand
experience;beleven
behind;achter
reach;bereiken
local;lokaal
kill;doden
six;zes
remain;blijven
effect;effect
yeah;ja
suggest;stel voor
class;klas
control;controle
raise;salarisverhoging
care;zorg
perhaps;misschien
late;laat
hard;moeilijk
field;veld
else;anders
pass;slagen voor
former;vroegere
sell;verkopen
major;belangrijk
sometimes;soms
require;vereisen
along;langs
development;ontwikkeling
themselves;zich
report;rapport
role;rol
better;beter
economic;economisch
effort;poging
decide;beslissen
rate;tarief
strong;krachtig
possible;mogelijk
heart;hart
drug;medicijn
leader;leider
light;licht
voice;stem
wife;vrouw
whole;geheel
police;politie
mind;verstand
finally;Tenslotte
pull;trekken
return;opbrengst
free;vrij
military;leger
price;prijs
less;minder
according;volgens
decision;beslissing
explain;uitleggen
son;zoon
hope;hoop
develop;ontwikkelen
view;visie
relationship;relatie
carry;dragen
town;dorp
road;weg
drive;drijfveer
arm;arm
TRUE;WAAR
federal;federaal
break;pauze
difference;verschil
thank;dank
receive;te ontvangen
value;waarde
international;Internationale
building;gebouw
action;actie
full;vol
model;model-
join;meedoen
season;seizoen
society;samenleving
tax;belasting
director;regisseur
position;positie
player;speler
agree;mee eens zijn
especially;vooral
record;dossier
pick;kiezen
wear;dragen
paper;papier
special;speciaal
space;ruimte
ground;grond
form;het formulier
support;steun
event;evenement
official;officieel
whose;van wie
matter;er toe doen
everyone;iedereen
center;centrum
couple;stel
site;website
project;projecteren
hit;raken
base;baseren
activity;werkzaamheid
star;ster
table;tafel
court;rechtbank
produce;produceren
eat;eten
teach;leren
oil;olie-
half;voor de helft
situation;situatie
easy;eenvoudig
cost;kosten
industry;industrie
figure;figuur
street;straat
image;afbeelding
itself;zelf
phone;telefoon
either;of
data;gegevens
cover;omslag
quite;nogal
picture;afbeelding
clear;Doorzichtig
practice;oefening
piece;deel
land;land-
recent;recentelijk
describe;beschrijven
product;Product
doctor;dokter
wall;muur
patient;geduldig
worker;arbeider
news;nieuws
test;testen
movie;film
certain;zeker
north;noorden
personal;persoonlijk
simply;gewoon
third;derde
technology;technologie
catch;vangst
step;stap
baby;baby
computer;computer
type;type
attention;aandacht
draw;tekenen
film;film
Republican;Republikeins
tree;boom
source;bron
red;rood
nearly;bijna
organization;organisatie
choose;Kiezen
cause;oorzaak
hair;haar
century;eeuw
evidence;bewijs
window;venster
difficult;moeilijk
listen;luister
soon;spoedig
culture;cultuur
billion;miljard
chance;kans
brother;broer
energy;energie
period;periode
summer;zomer
realize;realiseren
hundred;honderd
available;verkrijgbaar
plant;plant
likely;aannemelijk
opportunity;kans
term;termijn
short;kort
letter;brief
condition;voorwaarde
choice;keuze
single;enkel
rule;regel
daughter;dochter
administration;administratie
south;zuiden
husband;echtgenoot
Congress;Congres
floor;vloer
campaign;campagne
material;materiaal
population;bevolking
economy;economie
medical;medisch
hospital;ziekenhuis
church;kerk
close;dichtbij
thousand;duizend
risk;risico
current;huidig
fire;vuur
future;toekomst
wrong;mis
involve;bij betrekken
defense;verdediging
anyone;iedereen
increase;toenemen
security;veiligheid
bank;bank
myself;mezelf
certainly;zeker
west;west
sport;sport
board;bord
seek;zoeken
per;per
subject;onderwerp
officer;officier
private;privaat
rest;rust uit
behavior;gedrag
deal;overeenkomst
performance;prestatie
fight;gevecht
throw;gooien
top;bovenkant
quickly;snel
past;Verleden
goal;doel
bed;bed
order;bestellen
author;auteur
fill;vullen
represent;staan voor
focus;focus
foreign;buitenlands
drop;druppel
blood;bloed
upon;bij
agency;bureau
push;duw
nature;natuur
color;kleur
recently;sinds kort
store;op te slaan
reduce;verminderen
sound;geluid
note;Opmerking
fine;prima
near;in de buurt
movement;beweging
page;bladzijde
enter;binnenkomen
share;deel
common;gemeenschappelijk
poor;arm
natural;natuurlijk
race;ras
concern;zorg
series;serie
significant;significant
similar;vergelijkbaar
hot;heet
language;taal
usually;gebruikelijk
response;antwoord
dead;dood
rise;opstaan
animal;dier
factor;factor
decade;decennium
article;artikel
shoot;schieten
east;oosten-
save;opslaan
seven;zeven
artist;artiest
scene;tafereel
stock;voorraad
career;carrière
despite;ondanks
central;centraal
eight;acht
thus;dus
treatment;behandeling
beyond;voorbij
happy;Vrolijk
exactly;precies
protect;beschermen
approach;nadering
lie;leugen
size;maat
dog;hond
fund;fonds
serious;echt
occur;voorkomen
media;media
ready;klaar
sign;teken
thought;gedachte
list;lijst
individual;individueel
