the;a
and;a
have;mít
that;že
for;pro
you;vy
with;s
say;říci
this;tento
they;ony
but;ale
his;jeho
from;z
not;ne
she;ona
as;tak jako
what;co
their;jejich
can;umět
who;SZO
get;dostat
would;bych
her;její
all;Všechno
make;udělat
about;o
know;znát
will;vůle
one;jeden
time;čas
there;tam
year;rok
think;myslet si
when;když
which;který
them;jim
some;nějaký
people;lidé
take;vzít
out;ven
into;do
just;prostě
see;vidět
him;mu
your;vaše
come;Přijít
could;mohl
now;Nyní
than;než
like;jako
other;jiný
how;jak
then;pak
its;své
our;náš
two;dva
more;více
these;tyto
want;chtít
way;způsob
look;Koukni se
first;První
also;taky
new;Nový
because;protože
day;den
use;použití
man;muž
find;nalézt
here;tady
thing;věc
give;dát
many;mnoho
well;studna
only;pouze
those;těch
tell;sdělit
very;velmi
even;dokonce
back;zadní
any;žádný
good;dobrý
woman;žena
through;přes
life;život
child;dítě
work;práce
down;dolů
may;smět
after;po
should;by měl
call;volání
world;svět
over;přes
school;škola
still;ještě pořád
try;Snaž se
last;poslední
ask;dotázat se
need;potřeba
too;také
feel;cítit
three;tři
state;Stát
never;nikdy
become;stát se
between;mezi
high;vysoký
really;opravdu
something;něco
most;většina
another;další
much;hodně
family;rodina
own;vlastní
leave;odejít
put;dát
old;starý
while;zatímco
mean;znamenat
keep;držet
student;student
why;proč
let;nechat
great;skvělý
same;stejný
big;velký
group;skupina
begin;začít
seem;zdát se
country;země
help;Pomoc
talk;mluvit
where;kde
turn;otočit se
problem;problém
every;každý
start;Start
hand;ruka
might;mohl
American;americký
show;ukázat
part;část
against;proti
place;místo
such;takový
again;znovu
few;málo
case;případ
week;týden
company;společnost
system;Systém
each;každý
right;že jo
program;program
hear;slyšet
question;otázka
during;během
play;hrát si
government;vláda
run;běh
small;malý
number;číslo
off;vypnuto
always;vždy
move;přestěhovat se
night;noc
live;žít
Mr;pan
point;směřovat
believe;věřit
hold;držet
today;dnes
bring;přinést
happen;stát se
next;další
without;bez
before;před
large;velký
