the;
and;तथा
have;पास होना
that;वह
for;के लिये
you;तुम
with;साथ
say;कहो
this;यह
they;वे
but;लेकिन
his;उसके
from;से
not;नहीं
she;वह
as;जैसा
what;क्या
their;उनका
can;कर सकते हैं
who;कौन
get;प्राप्त
would;चाहेंगे
her;उसकी
all;सब
make;बनाना
about;के बारे में
know;जानना
will;मर्जी
one;एक
time;समय
there;वहां
year;साल
think;सोच
when;जब
which;कौन सा
them;उन्हें
some;कुछ
people;लोग
take;लेना
out;बाहर
into;में
just;अभी-अभी
see;देखना
him;उसे
your;आपका
come;आइए
could;सकता है
now;अभी व
than;बजाय
like;पसंद करना
other;अन्य
how;कैसे
then;फिर
its;इसका
our;हमारी
two;दो
more;अधिक
these;इन
want;चाहते हैं
way;मार्ग
look;देखना
first;पहला
also;भी
new;नया
because;इसलिये
day;दिन
use;उपयोग
man;आदमी
find;पाना
here;यहां
thing;चीज़
give;देना
many;बहुत सा
well;कुंआ
only;केवल
those;वे
tell;बताना
very;बहुत
even;यहाँ तक की
back;पीछे
any;कोई
good;अच्छा
woman;महिला
through;के माध्यम से
life;जिंदगी
child;बच्चा
work;काम
down;नीचे
may;मई
after;बाद में
should;चाहिए
call;बुलाना
world;दुनिया
over;ऊपर
school;स्कूल
still;फिर भी
try;प्रयत्न
last;अंतिम
ask;पूछना
need;जरुरत
too;बहुत
feel;अनुभव करना
three;तीन
state;राज्य
never;कभी नहीँ
become;बनना
between;के बीच
high;उच्च
really;वास्तव में
something;कुछ
most;अधिकांश
another;दूसरा
much;अधिकता
family;परिवार
own;अपना
leave;छुट्टी
put;रखना
old;पुराना
while;जबकि
mean;अर्थ
keep;रखना
student;छात्र
why;क्यों
let;होने देना
great;महान
same;वही
big;बड़ा
group;समूह
begin;शुरू करना
seem;प्रतीत होना
country;देश
help;मदद करना
talk;बात करना
where;कहाँ पे
turn;मोड़
problem;संकट
every;हर एक
start;प्रारंभ
hand;हाथ
might;ताकत
American;अमेरिकन
show;प्रदर्शन
part;अंश
against;के खिलाफ
place;स्थान
such;ऐसा
again;फिर से
few;कुछ
case;मामला
week;सप्ताह
company;कंपनी
system;व्यवस्था
each;प्रत्येक
right;सही
program;कार्यक्रम
hear;सुनो
question;प्रश्न
during;दौरान
play;प्ले Play
government;सरकार
run;दौड़ना
small;छोटा
number;संख्या
off;बंद
always;हमेशा
move;कदम
night;रात
live;लाइव
Mr;श्री
point;बिंदु
believe;मानना
hold;पकड़
today;आज
bring;लाओ
happen;होना
next;अगला
without;बिना
before;इससे पहले
large;विशाल
million;दस लाख
must;ज़रूरी
home;घर
under;नीचे
water;पानी
room;कमरा
write;लिखना
mother;मां
area;क्षेत्र
national;राष्ट्रीय
money;पैसे
story;कहानी
young;युवा
fact;तथ्य
month;महीना
different;विभिन्न
lot;बहुत
study;अध्ययन
book;किताब
eye;आँख
job;काम
word;शब्द
though;यद्यपि
business;व्यापार
issue;मुद्दा
side;पक्ष
kind;मेहरबान
four;चार
head;सिर
far;दूर
black;काला
long;लंबा
both;दोनों
little;थोड़ा
house;मकान
yes;हां
since;जबसे
provide;प्रदान करना
service;सर्विस
around;चारों ओर
friend;दोस्त
important;महत्वपूर्ण
father;पिता
sit;बैठिये
away;दूर
until;तक
power;शक्ति
hour;घंटा
game;खेल
often;अक्सर
yet;अभी तक
line;रेखा
political;राजनीतिक
end;समाप्त
among;के बीच
ever;कभी
stand;स्टैंड
bad;बुरा
lose;खोना
however;हालांकि
member;सदस्य
pay;भुगतान करना
law;कानून
meet;मिलना
car;गाड़ी
city;शहर
almost;लगभग
include;शामिल
continue;जारी रखें
set;समूह
later;बाद में
community;समुदाय
name;नाम
five;पांच
once;एक बार
white;सफेद
least;कम से कम
president;राष्ट्रपति
learn;सीखना
real;वास्तविक
change;परिवर्तन
team;टीम
minute;मिनट
best;श्रेष्ठ
several;कई
idea;विचार
kid;बच्चा
body;तन
information;जानकारी
nothing;कुछ नहीं
ago;पहले
lead;प्रमुख
social;सामाजिक
understand;समझना
whether;या
watch;घड़ी
together;साथ में
follow;पालन करना
parent;माता-पिता
stop;विराम
face;चेहरा
anything;कुछ भी
create;सृजन करना
public;जनता
already;पहले से ही
speak;बोलना
others;अन्य
read;पढ़ना
level;स्तर
allow;अनुमति
add;जोड़ें
office;कार्यालय
spend;खर्च करते हैं
door;द्वार
health;स्वास्थ्य
