the;la
and;et
have;ont
that;ce
for;pour
you;tu
with;avec
say;dire
this;cette
they;elles ou ils
but;mais
his;le sien
from;de
not;ne pas
she;elle
as;comme
what;Quel
their;leur
can;boîte
who;qui
get;obtenir
would;aurait
her;son
all;tout
make;Fabriquer
about;sur
know;connaître
will;sera
one;une
time;temps
there;là
year;an
think;pense
when;lorsque
which;qui
them;leur
some;quelques
people;personnes
take;prendre
out;dehors
into;dans
just;juste
see;voir
him;lui
your;ton
come;viens
could;pourrait
now;à présent
than;que
like;Comme
other;autre
how;comment
then;alors
its;son
our;notre
two;deux
more;Suite
these;ces
want;vouloir
way;façon
look;voir
first;première
also;aussi
new;Nouveau
because;car
day;journée
use;utilisation
man;homme
find;trouver
here;ici
thing;chose
give;donner
many;de nombreux
well;bien
only;seulement
those;ceux
tell;raconter
very;très
even;même
back;retour
any;n&#39;importe quel
good;bien
woman;femme
through;à travers
life;la vie
child;enfant
work;travailler
down;vers le bas
may;peut
after;après
should;devrait
call;appel
world;monde
over;plus de
school;école
still;toujours
try;essayer
last;dernière
ask;interroger
need;besoin
too;aussi
feel;se sentir
three;Trois
state;Etat
never;jamais
become;devenir
between;entre
high;haute
really;vraiment
something;quelque chose
most;plus
another;une autre
much;beaucoup
family;famille
own;posséder
leave;Pars
put;mettre
old;Agé de
while;tandis que
mean;moyenne
keep;donjon
student;étudiant
why;Pourquoi
let;laisser
great;génial
same;même
big;gros
group;groupe
begin;commencer
seem;sembler
country;pays
help;aider
talk;parler
where;où
turn;tour
problem;problème
every;tous
start;début
hand;main
might;force
American;Américain
show;Afficher
part;partie
against;contre
place;place
such;tel
again;encore
few;peu
case;Cas
week;la semaine
company;compagnie
system;système
each;chaque
right;droit
program;programme
hear;écouter
question;question
during;durant
play;jouer
government;gouvernement
run;Cours
small;petit
number;Numéro
off;à l&#39;arrêt
always;toujours
move;mouvement
night;nuit
live;Direct
Mr;M
point;indiquer
believe;croire
hold;tenir
today;aujourd&#39;hui
bring;apporter
happen;se produire
next;Suivant
without;sans pour autant
before;avant de
large;grand
million;million
must;devoir
home;domicile
under;en dessous de
water;l&#39;eau
room;chambre
write;écrivez
mother;mère
area;Région
national;nationale
money;argent
story;histoire
young;Jeune
fact;fait
month;mois
different;différent
lot;parcelle
study;étude
book;livre
eye;œil
job;travail
word;mot
though;pourtant
business;Entreprise
issue;publier
side;côté
kind;gentil
four;quatre
head;tête
far;loin
black;le noir
long;long
both;tous les deux
little;peu
house;loger
yes;oui
since;puisque
provide;apporter
service;service
around;autour de
friend;ami
important;important
father;père
sit;asseoir
away;une façon
until;jusqu&#39;à
power;Puissance
hour;heure
game;Jeu
often;souvent
yet;encore
line;ligne
political;politique
end;fin
among;parmi
ever;déjà
stand;supporter
bad;mal
lose;perdre
however;toutefois
member;membre
pay;Payer
law;droit
meet;rencontrer
car;auto
city;ville
almost;presque
include;comprendre
continue;Continuez
set;Positionner
later;plus tard
community;communauté
name;Nom
five;cinq
once;une fois que
white;blanche
least;moins
president;Président
learn;apprendre
real;réel
change;monnaie
team;équipe
minute;minute
best;meilleur
several;plusieurs
idea;idée
kid;enfant
body;corps
information;informations
nothing;rien
ago;depuis
lead;conduire
social;social
understand;comprendre
whether;qu&#39;il s&#39;agisse
watch;Regardez
together;ensemble
follow;suivre
parent;parent
stop;arrêt
face;Visage
anything;n&#39;importe quoi
create;créer
public;Publique
already;déjà
speak;parler
others;les autres
read;lis
level;niveau
allow;Autoriser
add;ajouter
office;Bureau
spend;dépenser
door;porte
health;santé
person;la personne
art;art
sure;Bien sur
war;guerre
history;l&#39;histoire
party;faire la fête
within;dans
grow;grandir
result;résultat
open;ouvert
morning;Matin
walk;marche
reason;raison
low;bas
win;gagner
research;rechercher
girl;fille
guy;mec
early;tôt
food;aliments
moment;moment
himself;lui-même
air;air
teacher;prof
force;Obliger
offer;offrir
enough;suffisant
education;éducation
across;de l&#39;autre côté
although;même si
remember;rappelles toi
foot;le pied
second;deuxième
boy;garçon
maybe;peut être
toward;vers
able;pouvoir
age;âge
policy;politique
everything;tout
love;aimer
process;traiter
music;musique
including;y compris
consider;envisager
appear;apparaître
actually;réellement
buy;acheter
probably;Probablement
human;Humain
wait;Attendez
serve;servez
market;marché
die;la
send;envoyer
expect;attendre
sense;sens
build;construire
stay;rester
fall;tomber
oh;oh
nation;nation
plan;planifier
cut;Couper
college;collège
interest;intérêt
death;décès
course;cours
someone;quelqu&#39;un
experience;vivre
behind;derrière
reach;atteindre
local;local
kill;tuer
six;six
remain;rester
effect;effet
yeah;Oui
suggest;suggérer
class;classer
control;contrôler
raise;soulever
care;se soucier
perhaps;peut-être
late;en retard
hard;dur
field;champ
else;autre
pass;passer
former;ancien
sell;vendre
major;Majeur
sometimes;quelquefois
require;exiger
along;sur
development;développement
themselves;eux-mêmes
report;rapport
role;rôle
better;meilleur
economic;économique
effort;effort
decide;décider
rate;évaluer
strong;fort
possible;possible
heart;cœur
drug;médicament
leader;chef
light;lumière
voice;voix
wife;épouse
whole;ensemble
police;police
mind;dérange
finally;finalement
pull;tirer
return;revenir
free;libre
military;militaire
price;le prix
less;moins
according;selon
decision;décision
explain;Explique
son;fils
hope;espoir
develop;développer
view;voir
relationship;relation
carry;porter
town;ville
road;route
drive;conduire
arm;bras
TRUE;vrai
federal;fédéral
break;Pause
difference;différence
thank;remercier
receive;recevoir
value;évaluer
international;international
building;imeuble
action;action
full;plein
model;maquette
join;rejoindre
season;saison
society;société
tax;impôt
director;directeur
position;position
player;joueur
agree;Je suis d&#39;accord
especially;surtout
record;enregistrement
pick;prendre
wear;usure
paper;papier
special;spécial
space;espace
ground;terrain
form;formulaire
support;Support
event;un événement
official;officiel
whose;à qui
matter;question
everyone;tout le monde
center;centre
couple;couple
site;placer
project;projet
hit;succès
base;base
activity;activité
star;étoile
table;table
court;rechercher
produce;produire
eat;manger
teach;apprendre
oil;pétrole
half;demi
situation;situation
easy;facile
cost;Coût
industry;industrie
figure;chiffre
street;rue
image;image
itself;lui-même
phone;téléphoner
either;Soit
data;Les données
cover;couverture
quite;assez
picture;image
clear;dégager
practice;pratique
piece;pièce
land;terrain
recent;récent
describe;décris
product;produit
doctor;docteur
wall;mur
patient;patient
worker;ouvrier
news;nouvelles
test;test
movie;film
certain;certain
north;Nord
personal;personnel
simply;simplement
third;troisième
technology;La technologie
catch;attraper
step;marcher
baby;bébé
computer;l&#39;ordinateur
type;taper
attention;attention
draw;dessiner
film;film
Republican;Républicain
tree;arbre
source;la source
red;rouge
nearly;presque
organization;organisme
choose;choisir
cause;cause
hair;Cheveu
century;siècle
evidence;preuve
window;la fenêtre
difficult;difficile
listen;Ecoutez
soon;bientôt
culture;Culture
billion;milliard
chance;chance
brother;frère
energy;énergie
period;période
summer;été
realize;prendre conscience de
hundred;cent
available;disponible
plant;plante
likely;probable
opportunity;occasion
term;terme
short;court
letter;lettre
condition;condition
choice;choix
single;Célibataire
rule;régner
daughter;la fille
administration;administration
south;sud
husband;mari
Congress;Congrès
floor;sol
campaign;campagne
material;Matériel
population;population
