the;на
and;и
have;имат
that;че
for;за
you;ти
with;с
say;казвам
this;това
they;те
but;но
his;неговият
from;от
not;не
she;тя
as;като
what;Какво
their;техен
can;мога
who;СЗО
get;получавам
would;би се
her;нея
all;всичко
make;направи
about;относно
know;зная
will;ще
one;един
time;време
there;там
year;година
think;мисля
when;кога
which;който
them;тях
some;някои
people;хората
take;предприеме
out;навън
into;в
just;просто
see;виж
him;него
your;Вашият
come;идвам
could;бих могъл
now;сега
than;отколкото
like;като
other;друго
how;как
then;тогава
its;неговото
our;нашият
two;две
more;Повече ▼
these;тези
want;искам
way;начин
look;виж
first;първи
also;също
new;нов
because;защото
day;ден
use;използване
man;човек
find;намирам
here;тук
thing;нещо
give;дайте
many;много
well;добре
only;само
those;тези
tell;казвам
very;много
even;дори
back;обратно
any;всякакви
good;добре
woman;жена
through;през
life;живот
child;дете
work;работа
down;надолу
may;може
after;след
should;Трябва
call;повикване
world;свят
over;над
school;училище
still;все още
try;опитвам
last;последно
ask;питам
need;трябва
too;също
feel;Усещам
three;три
state;състояние
never;никога
become;да стане
between;между
high;Високо
really;наистина ли
something;нещо
most;повечето
another;друг
much;много
family;семейство
own;собствен
leave;напускам
put;слагам
old;стар
while;докато
mean;означава
keep;пазя
student;студент
why;защо
let;позволявам
great;страхотен
same;един и същ
big;голям
group;група
begin;започвам
seem;Изглежда
country;държава
help;помогне
talk;говоря
where;където
turn;завой
problem;проблем
every;всеки
start;започнете
hand;ръка
might;биха могли, може
American;американски
show;шоу
part;част
against;срещу
place;място
such;такива
again;отново
few;малцина
case;случай
week;седмица
company;търговско дружество
system;система
each;всеки
right;точно
program;програма
hear;чувам
question;въпрос
during;по време на
play;играя
government;правителство
run;тичам
small;малък
number;номер
off;изключено
always;винаги
move;ход
night;нощ
live;на живо
Mr;г-н
point;точка
believe;вярвам
hold;задръжте
today;днес
bring;донеси
happen;случи се
next;следващия
without;без
before;преди
large;голям
million;милиона
must;трябва да
home;У дома
under;под
water;вода
room;стая
write;пишете
