the;ال
and;و
have;لديك
that;الذي - التي
for;إلى عن على
you;أنت
with;مع
say;قل
this;هذه
they;أنهم
but;لكن
his;له
from;من
not;ليس
she;هي
as;كما
what;ماذا او ما
their;هُم
can;يستطيع
who;منظمة الصحة العالمية
get;احصل على
would;سيكون
her;لها
all;الكل
make;صنع
about;حول
know;أعرف
will;إرادة
one;واحد
time;زمن
there;هناك
year;عام
think;فكر في
when;متى
which;أيّ
them;هم
some;بعض
people;اشخاص
take;يأخذ
out;خارج
into;داخل
just;فقط
see;نرى
him;له
your;لك
come;يأتي
could;استطاع
now;حاليا
than;من
like;مثل
other;آخر
how;كيف
then;ومن بعد
its;انها
our;ملكنا
two;اثنين
more;أكثر
these;هؤلاء
want;يريد
way;طريق
look;نظرة
first;أول
also;ايضا
new;الجديد
because;لان
day;يوم
use;استعمال
man;رجل
find;تجد
here;هنا
thing;شيء
give;يعطى
many;عديدة
well;نحن سوف
only;فقط
those;أولئك
tell;أقول
very;جداً
even;حتى
back;الى الخلف
any;أي
good;جيد
woman;النساء
through;عبر
life;الحياة
child;طفل
work;الشغل
down;أسفل
may;مايو
after;بعد، بعدما
should;ينبغي
call;مكالمة
world;العالمية
over;خلال
school;المدرسة
still;ساكن
try;محاولة
last;الاخير
ask;يطلب
need;بحاجة إلى
too;جدا
feel;يشعر
three;ثلاثة
state;حالة
never;أبداً
become;أصبح
between;ما بين
high;عالي
really;حقًا
something;شيئا ما
most;عظم
another;اخر
much;كثير
family;الأسرة
own;ملك
leave;غادر
put;وضع
old;قديم
while;في حين
mean;يعني
keep;احتفظ
student;طالب علم
why;لماذا
let;يترك
great;رائعة
same;نفس
big;كبير
group;مجموعة
begin;يبدأ
seem;يبدو
country;بلد
help;يساعد
talk;حديث
where;أين
turn;منعطف أو دور
problem;مشكلة
every;كل
start;بداية
hand;كف
might;قد
American;أمريكي
show;تبين
part;جزء
against;ضد
place;مكان
such;مثل
again;تكرارا
few;قليل
case;قضية
week;أسبوع
company;شركة
system;النظام
each;كل
right;حقا
program;برنامج
hear;يسمع
question;سؤال
during;أثناء
play;لعب
government;حكومة
run;يجري
small;صغير
number;رقم
off;إيقاف
always;دائماً
move;يتحرك
night;ليل
live;يعيش
Mr;السيد
point;نقطة
believe;يصدق
hold;يمسك
today;اليوم
bring;احضر
happen;يحدث
next;التالي
without;بدون
before;قبل
large;كبير
million;مليون
must;يجب
home;الصفحة الرئيسية
under;تحت
water;ماء
room;مجال
write;اكتب
mother;أم
area;منطقة
national;الوطني
money;مال
story;قصة
young;صغيرة
fact;حقيقة
month;شهر
different;مختلف
lot;كثير
study;دراسة
book;الكتاب
eye;عين
job;مهنة
word;كلمة
though;على أية حال
business;اعمال
issue;القضية
side;جانب
kind;طيب القلب
four;أربعة
head;رأس
far;بعيد
black;أسود
long;طويل
both;على حد سواء
little;قليل
house;بيت
yes;نعم
since;حيث
provide;تزود
service;الخدمات
around;حول
friend;صديق
important;مهم
father;الآب
sit;يجلس
away;بعيد
until;حتى
power;قوة
hour;ساعة
game;لعبه
often;غالباً
yet;حتى الآن
line;خط
political;سياسي
end;نهاية
among;ضمن
ever;أي وقت مضى
stand;انتصاب
bad;سيئ
lose;تخسر
however;ومع ذلك
member;عضو
pay;يدفع
law;قانون
meet;يجتمع
car;جمل
city;مدينة
almost;تقريبيا
include;تضمن
continue;استمر
set;تعيين
later;في وقت لاحق
community;تواصل اجتماعي
name;اسم
five;خمسة
once;ذات مرة
white;أبيض
least;الأقل
president;رئيس
learn;يتعلم
real;حقا
change;يتغيرون
team;فريق
minute;اللحظة
best;الأفضل
several;العديد من
idea;فكرة
kid;طفل
body;هيئة
information;معلومة
nothing;ولا شيء
ago;منذ
lead;قيادة
social;اجتماعي
understand;تفهم
whether;سواء
watch;راقب
together;معاً
follow;إتبع
parent;الأبوين
stop;قف
face;وجه
anything;اى شئ
create;خلق
public;عام
already;سابقا
speak;تحدث
others;الآخرين
read;قرأ
level;مستوى
allow;السماح
add;يضيف
office;مكتب
spend;أنفق
door;باب
health;صحة
person;شخص
art;فن
sure;بالتأكيد
war;حرب
history;التاريخ
party;حفل
within;داخل
grow;تنمو
result;نتيجة
open;افتح
morning;صباح
walk;مشي
reason;السبب
low;قليل
win;فوز
research;ابحاث
girl;فتاة
guy;شاب
early;مبكر
food;غذاء
moment;لحظة
himself;نفسه
air;هواء
teacher;معلم
force;فرض
offer;عرض
enough;كافي
education;التعليم
across;بجانب
although;رغم
remember;تذكر
foot;قدم
second;ثانيا
boy;صبي
maybe;يمكن
toward;باتجاه
able;قادر
age;سن
policy;سياسات
everything;كل شىء
love;الحب
process;معالجة
music;موسيقى
including;بما فيها
consider;انصح
appear;يظهر
actually;في الحقيقة
buy;يشترى
probably;المحتمل
human;بشري
wait;انتظر
serve;تخدم
market;سوق
die;ال
send;إرسال
expect;توقع
sense;حاسة
build;يبني
stay;يقضي
fall;يسقط
oh;أوه
nation;الأمة
plan;خطة
cut;يقطع
college;كلية
interest;فائدة
death;الموت
course;مسار
someone;شخصا ما
experience;خبرة
behind;خلف
reach;تصل
local;محلي
kill;قتل
six;ستة
remain;يبقى
effect;تأثير
yeah;بلى
suggest;يقترح
class;صف دراسي
control;مراقبة
raise;رفع
care;رعاية
perhaps;ربما
late;متأخر
hard;الصعب
field;مجال
else;آخر
pass;يمر
former;سابق
sell;باع
major;رائد
sometimes;بعض الأحيان
require;يتطلب
along;على طول
development;تطوير
themselves;أنفسهم
report;أبلغ عن
role;وظيفة
better;أفضل
economic;اقتصادي
effort;مجهود
decide;قرر
rate;معدل
strong;قوي
possible;المستطاع
heart;قلب
drug;دواء
leader;قائد
light;خفيفة
voice;صوت بشري
wife;زوجة
whole;كامل
police;شرطة
mind;عقل _ يمانع
finally;أخيرا
pull;يحذب
return;إرجاع
free;مجانا
military;جيش
price;سعر
less;أقل
according;تبعا
decision;قرار
explain;يشرح
son;ابن
hope;أمل
develop;طور
view;رأي
relationship;صلة
carry;احمل
town;بلدة
road;طريق
drive;قطع
arm;ذراع
TRUE;صحيح
federal;الفيدرالية
break;فترة راحة
difference;فرق
thank;شكر
receive;تلقى
value;القيمة
international;دولي
building;بناء
action;عمل
full;ممتلئ
model;نموذج
join;انضم
season;الموسم
society;المجتمع
tax;ضريبة
director;مدير
position;موقع
player;لاعب
agree;يوافق على
especially;خاصة
record;سجل
pick;قطف او يقطف
wear;يرتدي
paper;ورق
special;خاص
space;الفضاء
ground;أرض
form;شكل
support;الدعم
event;حدث
official;الرسمية
whose;ملك من
matter;قضيه
everyone;كل واحد
center;المركز
couple;زوج
site;موقع
project;مشروع
hit;يضرب
base;قاعدة
activity;نشاط
star;نجمة
table;الطاولة
court;المحكمة
produce;ينتج
eat;تأكل
teach;يعلم
oil;نفط
half;نصف
situation;الموقف
easy;سهل
cost;كلفة
industry;صناعة
figure;الشكل
street;شارع
image;صورة
itself;بحد ذاتها
phone;هاتف
either;أيضاً
data;بيانات
cover;التغطية
quite;الى حد كبير
picture;صورة
clear;صافي
practice;ممارسة
piece;قطعة
land;الأرض
recent;مؤخرًا
describe;يصف
product;منتج
doctor;طبيب
wall;حائط
patient;صبور
worker;عامل
news;الإخبارية
test;اختبار
movie;فيلم
certain;تأكيد
north;شمال
personal;شخصي
simply;ببساطة
third;الثالث
technology;تكنولوجيا
catch;قبض على
step;خطوة
baby;طفل
computer;الحاسوب
type;يكتب
attention;الانتباه
draw;سحب
film;فيلم
Republican;جمهوري
tree;شجرة
source;مصدر
red;أحمر
nearly;تقريبا
organization;منظمة
choose;يختار
cause;موجه
hair;شعر
century;مئة عام
evidence;دليل
window;نافذة او شباك
difficult;صعبة
listen;استمع
soon;هكذا
culture;الثقافة
billion;مليار
chance;صدفة
brother;شقيق
energy;طاقة
period;فترة
summer;الصيف
realize;تدرك
hundred;مائة
available;متوفرة
plant;مصنع
likely;المحتمل أن
opportunity;فرصة
term;مصطلح
short;قصيرة
letter;رسالة
condition;حالة
choice;خيار
single;غير مرتبطة
rule;قاعدة
daughter;بنت
administration;الادارة
south;جنوب
husband;الزوج
Congress;الكونجرس
floor;أرضية
campaign;الحملة الانتخابية
material;مواد
population;تعداد السكان
economy;اقتصاد
medical;طبي
hospital;مستشفى
church;كنيسة
close;أغلق
thousand;ألف
risk;مخاطرة
current;تيار
fire;نار
future;مستقبل
wrong;خاطئ - ظلم - يظلم
involve;تنطوي
defense;دفاع
anyone;أي واحد
increase;زيادة
security;الأمان
bank;مصرف
myself;نفسي
certainly;من المؤكد
west;الغرب
sport;رياضة
board;مجلس
seek;بحث
per;لكل
subject;موضوعات
officer;ضابط
private;خاص
rest;راحة
behavior;سلوك
deal;صفقة
performance;أداء
fight;يقاتل
throw;يرمي
top;أعلى
quickly;بسرعة
past;ماضي
goal;هدف
bed;سرير
order;ترتيب
author;مؤلف
fill;يملأ
represent;يمثل
focus;التركيز
foreign;أجنبي
drop;يسقط
blood;الدم
upon;على
agency;وكالة
push;يدفع
nature;طبيعة سجية
color;اللون
recently;حديثاً
store;متجر
reduce;خفض
sound;يبدو
note;ملاحظة
fine;بخير
near;قرب
movement;حركة
page;صفحة
enter;أدخل
share;شارك
common;مشترك
poor;فقير
natural;طبيعي
race;سباق
concern;الاهتمام
series;سلسلة
significant;هام
similar;مماثل
hot;الحار
language;لغة
usually;عادة
response;استجابة
dead;في ذمة الله تعالى
rise;ترتفع
animal;حيوان
factor;عامل
decade;عقد، عشر سنوات
article;مقالة - سلعة
shoot;أطلق النار
east;الشرق
save;حفظ
seven;سبعة
artist;فنان
scene;مشهد
stock;مخزون
career;مسار مهني مسار وظيفي
despite;بالرغم من
central;وسط
eight;ثمانية
thus;هكذا
treatment;علاج او معاملة
beyond;وَرَاءَ
happy;سعيدة
exactly;بالضبط
protect;يحمي
approach;يقترب
lie;يكذب
size;بحجم
dog;كلب
fund;تمويل
serious;جدي
occur;تحدث
media;وسائل الإعلام
ready;جاهز
sign;إشارة
thought;يفكر
list;قائمة
individual;فرد
simple;بسيط
quality;جودة
pressure;الضغط
accept;قبول
answer;إجابه
resource;الموارد
identify;التعرف
left;اليسار
meeting;اجتماع
determine;تحديد
prepare;إعداد
disease;مرض
whatever;ايا كان
success;النجاح
argue;تجادل
cup;فنجان
particularly;خصوصا
amount;مقدار
ability;قدرة
staff;العاملين
recognize;تعرف
indicate;تشير
character;حرف
growth;نمو
loss;خسارة
degree;الدرجة العلمية
wonder;يتعجب
attack;هجوم
herself;نفسها
region;منطقة
television;التلفاز
box;علبة
TV;تلفزيون
training;تمرين
pretty;جميل
trade;تجارة
election;انتخاب
everybody;الجميع
physical;بدني
lay;يضع
general;جنرال لواء
feeling;شعور
standard;اساسي
bill;مشروع قانون
message;رسالة
fail;يفشل
outside;الخارج
arrive;يصل
analysis;التحليلات
benefit;المنفعة
sex;الجنس
forward;إلى الأمام
lawyer;محامي
present;الحالي
section;الجزء
environmental;بيئي
glass;زجاج
skill;مهارة
sister;أخت
PM;مساءً
professor;دكتور جامعى
operation;عملية
financial;الأمور المالية
crime;جريمة
stage;المسرح
ok;موافق
compare;قارن
authority;السلطة
miss;يغيب
design;التصميم
sort;فرز
act;فعل
ten;عشرة
knowledge;المعرفه
gun;بندقية
station;محطة
blue;أزرق
strategy;إستراتيجية
clearly;بوضوح
discuss;تناقش
indeed;في الواقع
truth;حقيقة
song;أغنية
example;مثال
democratic;ديمقراطية
check;التحقق من
environment;بيئة
leg;ساق
dark;مظلم
various;مختلف
rather;بدلاً
laugh;يضحك
guess;خمن
executive;تنفيذي
prove;يثبت
hang;يشنق
entire;بأكمله
rock;صخر
forget;ننسى
claim;مطالبة
remove;إزالة
manager;إدارة
enjoy;التمتع
network;شبكة الاتصال
legal;قانوني
religious;متدين
cold;البرد
final;نهائي
main;رئيسي
science;علوم
green;لون أخضر
memory;ذاكرة
card;بطاقة
above;في الاعلى
seat;مقعد
cell;زنزانة
establish;إنشاء
nice;لطيف
trial;التجربة
expert;خبير
spring;ينبوع
firm;شركة
Democrat;ديموقراطي
radio;مذياع
visit;يزور
management;إدارة
avoid;تجنب
imagine;يتصور
tonight;هذه الليلة
huge;تسربت
ball;كرة
finish;إنهاء
yourself;نفسك
theory;نظرية
impact;تأثير
respond;رد
statement;بيان
maintain;الحفاظ
charge;تكلفة
popular;جمع
traditional;التقليديين
onto;على
reveal;يكشف
direction;اتجاه
weapon;سلاح
employee;موظف
cultural;ثقافي
contain;يحتوي
peace;سلام
