този;this one
който;which
че;that
мой;my
по;on
свой;own
ще;will
като;such as
мога;I can
един;one
но;but
или;or
до;to
към;to
г;d
друг;another
всеки;everyone
при;at
си;you are
през;through
след;after
трябва;must
има;there is
кажа;I say
бъда;be
ли;whether
година;year
*;*
ако;if
бе;be
когато;when
само;only
със;with
два;two
много;a lot
време;time
още;more
така;so
страна;country
във;in
какво;what
1;1
нещо;something
както;as
знам;I know
ням;yum
път;road
член;member
нов;new
0;0
имам;I have
някой;someone
вече;already
2;2
ден;day
==;==
без;without
преди;before
искам;want
всичкия;all
№;№
как;how
би;bi
чл;Art
защото;because
сега;now
дейност;activity
решение;answer
работа;work
все;everything
повече;more
ръка;hand
голям;big
под;under
лице;face
между;between
цял;whole
върху;on
част;part
български;Bulgarian
човек;person
българия;bulgaria
&;&
сам;alone
3;3
пред;in front of
дружество;company
също;too
толкова;so much
взема;takes
дори;even
място;place
себе;myself
глава;head
случай;case
дума;word
съд;court
цел;purpose
жена;woman
край;end
||;||
име;name
такъв;such
око;eye
европейски;European
обаче;however
същ;same
докато;while
срещу;against
тук;here
4;4
последен;last
пръв;first
според;according to
няколко;a few
съвет;advice
нищо;nothing
ал;al
около;around
въпрос;question
живот;life
направя;do
бих;I would
над;over
връзка;connection
започна;began
добре;good
quot;quot
ща;want
мисля;I think
три;three
видя;see
комисия;commission
кой;who
защо;why
там;there
5;5
използвам;I use
право;right
малко;a little
отново;again
става;becomes
2006;2006
дете;kid
момент;moment
начин;way
продукт;product
дам;I will give
сила;strength
било;either
софия;Sofia
няма;there is no
вид;kind
2007;2007
град;city
мъж;man
някакъв;some
стана;got up
казвам;I say
час;time
после;after
закон;law
пак;again
свят;world
тогава;then
дали;whether
тъй;as
държава;country
където;where
първи;first
правя;I do
хор;chorus
малък;small
система;system
лв;BGN
чрез;through
управление;management
%;%
получа;I receive
нито;nor
дойда;come
търговски;commercial
освен;except
бил;was
основание;ground
остана;stayed
вода;water
държавен;state
";";";"
национален;national
отношение;attitude
д;e
условие;condition
хора;people
онзи;the one
общ;common
информация;information
група;group
приложение;application
месец;month
услуга;service
посоча;pointed out
т;t
глас;voice
разбера;I understand
цена;price
различен;different
тоя;he
стар;old
точно;exactly
какъв;what
средство;means
регламент;regulation
гледам;I'm watching
промяна;change
пък;again
отговор;answer
приема;accepts
срок;term
попитам;I ask
представлявам;I represent
пара;steam
настоящ;present
проблем;issue
капитал;capital
производство;production
6;6
намеря;find
върна;returned
никой;no one
възможност;opportunity
проект;project
говоря;I'm talking
данни;data
основен;basic
река;River
параграф;paragraph
почти;almost
земя;land
продължа;I continue
въпреки;although
финансов;financial
брой;number
адрес;address
никога;never
наистина;really
област;area
точка;point
поглед;look
реша;resha
у;y
смятам;I think
просто;just
син;son
пазар;market
едва;barely
договор;contract
резултат;result
давам;I give
оставя;leaves
съвсем;quite
общност;community
заедно;together
министър;Minister
опит;experience
мярка;measure
стока;goods
очаквам;I expect
прав;right
компания;company
погледна;he looked
чуя;hear
добър;good
успея;managed
ред;ed
необходим;necessary
намирам;I find
винаги;always
орган;authority
сред;on Wednesday
трети;third
спра;right
къща;house
бия;beat
врата;door
ул;st
отида;go
език;language
обърна;turned
разбира;understand
живея;I live
align;align
помощ;help
господин;sir
сякаш;as if
заради;because of
млад;young
направа;straight
затова;therefore
открия;discovered
ТЗ;TK
нямам;I don't have
седмица;week
никакъв;none
вижда;sees
10;10
причина;reason
история;history
ф;f
начало;begining
колко;how much
дело;case
програма;program
свързан;connected
период;period
2005;2005
баща;father
днес;today
нося;wearing
известен;famous
доста;quite a lot
държа;hold
политически;politically
село;village
стая;room
изляза;came out
работя;I work
сделка;deal
международен;international
ЕО;EC
поне;at least
определя;determines
вляза;entered
продължавам;continue
фирма;company
приятел;friend
външен;external
душа;soul
изглежда;it seems
следвам;I follow
стоя;standing
веднага;immediately
подобен;similar
правителство;government
000;0
директор;director
макар;though
пациент;patient
продажба;sale
колкото;as much as
пълен;full
бял;white
община;Municipality
ЕС;EU
2008;2008
споразумение;agreement
зад;behind
нали;right
предвид;keep in mind
мина;mine
съответствие;compliance
7;7
избор;choice
of;of
майка;mother
управлявам;manage
съюз;union
действие;action
започвам;I'm starting
вътрешен;internal
развитие;development
стр;p
стан;state
власт;power
относно;concerning
район;district
заявя;declares
представя;presents
отговорност;responsibility
банка;bank
документ;document
организация;organization
партия;party
о;Fr.
вестник;newspaper
дом;house
стойност;value
тръгна;he left
види;see
отвърна;he replied
следващ;next
предмет;subject
търся;I'm looking for
втора;the second
тяло;body
бързо;fast
следен;followed
къде;where
останал;remained
план;plan
висок;high
поставя;place
особено;especially
книга;book
обичам;I love
млн;million
директива;directive
собствен;own
център;center
+;+
стигна;arrived
променя;changes
изискване;requirement
нощ;night
крак;leg
прилагам;attach
оставам;I stay
среща;meeting
кораб;ship
четири;four
бог;god
вписвам;enter
смърт;death
военен;military
поради;due to
сметка;account
дата;date
политик;politician
състояние;condition
8;8
материал;material
световен;world
съответен;respectively
чийто;whose
окръжен;district
представител;representative
интерес;interest
таквъз;so called
собственик;owner
мисъл;thought
пет;five
главен;chief
втори;second
среда;Wednesday
президент;President
икономически;economically
председател;chairman
минута;minute
например;for example
единствен;the only one
вдигна;picked up
европа;Europe
предложение;proposal
идвам;I'm coming
маса;mass
впиша;enter
сащ;United States
ето;here
иск;claim
местен;local
имот;property
достатъчно;enough
миг;moment
търговия;trade
съобщя;reported
основа;basis
семейство;family
сигурност;security
внимание;attention
определен;determined
момче;boy
щом;if
процедура;procedure
чакам;I'm waiting
съгласно;according to
животно;animal
важен;important
покажа;will show
съдържам;contain
2004;2004
софийски;Sofia
агенция;agency
американски;American
процес;process
center;center
водя;lead
правило;rule
форма;form
помисля;he thought
идея;idea
всъщност;in fact
контрол;control
истински;real
създам;create
стена;wall
12;12
едноличен;single
означавам;I mean
специален;special
моля;please
получавам;I receive
поема;poem
<;<
сърце;heart
огромен;huge
всякакъв;any
рамка;frame
бивш;ex
размер;size
забележа;noticed
светлина;light
пиша;I write
L;L
градски;urban
напълно;completely
участвам;I participate
вечер;in the evening
сигурно;for sure
долар;dollar
случа;case
употреба;use
готов;ready
разпоредба;provision
регистър;register
седалище;headquarters
предоставя;provides
често;often
чер;black
разход;cost
струва;worth it
положение;position
май;May
твърде;too
покъсно;later
ниво;level
the;the
позиция;position
брат;brother
отколкото;than
включвам;include
факт;fact
обясня;explain
участие;participation
наблюдавам;watch
войн;wars
наричам;I call
филм;movie
република;republic
отговарям;answer
човешки;human
предприятие;enterprise
момиче;girl
номер;number
показвам;I show
прилагане;application
тип;type
предлагам;I offer
окажа;will
дълъг;long
хиляда;thousand
убия;kill
ясно;clear
служба;service
лечение;treatment
министерство;ministry
официален;official
знача;means
9;9
оценка;evaluation
защита;Protection
опитвам;I'm trying
иван;Ivan
сграда;building
евро;euros
кон;con
съдебен;judicial
народен;folk
вещество;substance
ЕООД;Ltd.
век;century
нужда;need
общо;total
добавя;adds
кола;car
управител;manager
===;===
познавам;I know
парламент;parliament
сигурен;sure
включително;including
съществувам;I exist
изпълнение;performance
разбирам;I understand
style;style
гора;Forest
н;n
вероятно;probably
виждам;I see
доклад;report
задължение;obligation
ограничен;limited
предвидя;foresaw
рамо;shoulder
силен;strong
руски;Russian
подам;I will give
значение;meaning
изпълня;perform
играя;I play
2009;2009
храна;food
лекар;doctor
28;28
изследване;research
текст;text
из;from
чувство;feeling
улица;Street
червен;red
георги;George
доза;dose
пръст;finger
помогна;helped
население;population
извикам;I shout
вярвам;I believe
събрание;meeting
училище;school
производител;manufacturer
граница;border
изпратя;send
риск;risk
говор;speech
бизнес;business
българин;Bulgarian
извършвам;perform
минал;past
обществен;public
скоро;soon
лев;lev
то;then
б;b
 ;
веднъж;once
степен;degree
проучване;study
повечето;most
та;and
фонд;fund
списък;list
територия;territory
работен;working
жив;alive
личен;personal
десет;ten
роля;role
влизам;I'm coming in
ч;h
януари;January
социален;social
mg;mg
източник;source
среден;average
отбор;team
седна;sat down
A;A
разговор;conversation
дърво;wood
движение;movement
желание;desire
установя;establishes
смисъл;meaning
състав;composition
декември;December
ОВ;OJ
ООД;Ltd.
възможен;possible
сума;amount
вчера;yesterday
писмо;letter
юни;June
тежък;heavy
11;11
качество;quality
удар;blow
комитет;committee
септември;September
отвор;hole
служител;employee
превозен;transported
помалко;less
20;20
общество;community
ет;fl
затвор;prison
хвърля;throws
гр;city
изобщо;at all
игра;game
въздух;air
близо;close
именно;namely
проверка;check
кръв;blood
обект;object
гражданин;citizen
сто;hundred
чувствам;I feel
карта;map
изисквам;I demand
сутрин;in the morning
прозорец;window
централен;central
е;is
краен;extreme
граждански;civil
технически;technically
позволя;allows
акция;action
доведа;led
науча;learn
русия;russia
представа;idea
велик;great
сложа;put
истина;the truth
покупка;purchase
допълнителен;additional
реакция;reaction
обикновено;usually
март;March
институция;institution
събера;collect
количество;quantity
годишен;annual
македония;Macedonia
юли;July
море;the sea
усмихна;he smiled
вместо;instead
държавитечленка;Member States
места;places
какъвто;whatever
поискам;I'm looking for
създаване;creation
шеф;boss
разрешение;permission
гръб;back
собственост;property
линия;line
откажа;refuse
досега;so far
уста;mouth
култура;culture
любов;love
надявам;I hope
падна;fell
принцип;principle
милион;million
свободен;free
м;m
буква;letter
пусна;let go
понякога;sometimes
икономика;economy
сторя;I do
страх;fear
народ;people
предложа;I suggest
чета;read
загуба;loss
странен;strange
събитие;event
октомври;October
германий;germanium
дял;share
иванов;Ivanov
избера;choose
база;base
легло;bed
английски;English
накарам;I make
труд;labor
бряг;beach
желая;wishing
хвана;caught
зала;hall
шест;six
седя;sitting
половина;half
машина;machine
свърша;I'm done
проведа;conducted
карам;I drive
бюджет;budget
недвижим;real estate
димитров;dimitrov
отивам;I'm going
вървя;I'm walking
30;30
извърша;perform
слушам;I'm listening
кожа;leather
тон;tone
врат;neck
оръжие;weapon
крал;the king
създавам;create
твърд;hard
сериозен;serious
действам;I act
постигна;achieved
съпруг;husband
борба;struggle
френски;French
прием;reception
мрежа;network
чужбина;abroad
превърна;turned
нарека;called
изведнъж;suddenly
изправя;straightens
изменение;change
бр;no
>;>
операция;operation
информационен;informational
ЕИО;EEC
наложа;impose
капитан;captain
усилие;effort
ад;from
внос;import
ноември;November
поява;appearance
силно;strongly
обадя;call
административен;administrative
полиция;police
подходящ;suitable
април;April
de;de
дълго;long
бавно;slowly
благодаря;thanks
отделен;separate
акт;act
разлика;difference
франция;France
предам;I betray
ап;ap
представителство;representation
подобре;better
армия;army
15;15
флаг;flag
мнение;opinion
включа;incl
извадя;take out
възраст;age
използване;use
jpg;jpg
ами;well
болка;pain
напред;forward
възможно;possible
регион;region
оглед;view
ефект;effect
подкрепа;support
заповед;order
сестра;sister
слънце;the sun
предполагам;I guess
съдружник;partner
остров;Island
ситуация;situation
близък;close
организирам;organize
сектор;sector
трудно;hard
вида;species
нека;let
физически;physically
задача;task
каквото;whatever
процент;percentage
научен;scientific
клиент;client
лекарствен;medicinal
надежда;hope
ясен;clear
телефон;phone
умра;died
притежавам;I own
лидер;leader
дъщеря;daughter
and;and
лек;cure
тема;topic
поле;field
Б;B
грижа;care
снимка;photo
напусна;left
нарушение;violation
хубав;nice
запазя;save
опитам;I try
картинка;picture
липса;lack
изменя;changes
автор;author
университет;university
знак;sign
адвокат;lawyer
ала;ala
рекламен;advertising
първоначален;initial
съдържание;content
последвам;I follow
S;S
метод;method
цар;Tsar
частен;private
приемане;acceptance
right;right
насоча;directed
сър;sir
доктор;doctor
куче;dog
призная;admitting
премиер;prime minister
връх;peak
отчет;report
февруари;February
разкажа;will tell
сътрудничество;cooperation
икона;icon
мач;match
дреха;clothes
кимна;he nodded
общински;municipal
свобода;freedom
гол;goal
изчезна;disappeared
бъдеще;future
западен;western
устна;oral
кабинет;office
чувам;I hear
модел;model
дявол;Devil
посока;direction
произход;origin
svg;svg
образование;education
родя;give birth
камък;stone
2010;2010
извън;outside
посредничество;mediation
усмивка;smile
изключение;exception
площ;area
’;’
георгиев;Georgiev
отбележа;noted
август;August
стандарт;standard
награда;reward
движа;moving
13;13
успех;Good luck
приличам;I look like
изпълнителен;executive
забравя;forgets
газ;gas
единствено;only
зона;zone
кмет;the mayor
02;2
пловдив;Plovdiv
песен;song
огън;fire
чужд;foreign
минавам;I pass
считам;I think
църква;church
назад;back
независимо;regardless
