the;det
and;og
have;har
that;at
for;til
you;du
with;med
say;sige
this;dette
they;de
but;men
his;hans
from;fra
not;ikke
she;hun
as;som
what;hvad
their;deres
can;kan
who;WHO
get;få
would;ville
her;hende
all;alle
make;lave
about;om
know;ved godt
will;vilje
one;en
time;tid
there;der
year;år
think;tænke
when;hvornår
which;hvilken
them;dem
some;nogle
people;mennesker
take;tage
out;ud
into;ind i
just;lige
see;se
him;Hej M
your;din
come;komme
could;kunne
now;nu
than;end
like;synes godt om
other;Andet
how;hvordan
then;derefter
its;dens
our;vores
two;to
more;mere
these;Disse
want;vil have
way;vej
look;se
first;først
also;også
new;ny
because;fordi
day;dag
use;brug
man;mand
find;finde
here;her
thing;ting
give;give
many;mange
well;godt
only;kun
those;de der
tell;fortælle
very;meget
even;også selvom
back;tilbage
any;nogen
good;godt
woman;kvinde
through;igennem
life;liv
child;barn
work;arbejde
down;ned
may;kan
after;efter
should;skulle gerne
call;opkald
world;verden
over;over
school;skole
still;stadig
try;prøve
last;sidst
ask;Spørg
need;brug for
too;også
feel;føle
three;tre
state;stat
never;aldrig
become;blive
between;mellem
high;høj
really;virkelig
something;noget
most;mest
another;en anden
much;meget
family;familie
own;egen
leave;forlade
put;sætte
old;gammel
while;mens
mean;betyde
keep;holde
student;studerende
why;hvorfor
let;lade
great;store
same;samme
big;stor
group;gruppe
begin;begynde
seem;synes
country;Land
help;Hjælp
talk;tale
where;hvor
turn;tur
problem;problem
every;hver
start;Start
hand;hånd
might;magt
American;amerikansk
show;at vise
part;en del
against;mod
place;placere
such;sådan
again;igen
few;få
case;sag
week;uge
company;Selskab
system;system
each;hver
right;ret
program;program
hear;høre
question;spørgsmål
during;i løbet af
play;Spil
government;regering
run;løb
small;lille
number;nummer
off;af
always;altid
move;bevæge sig
night;nat
live;Direkte
Mr;Hr
point;punkt
believe;tro på
hold;holde
today;i dag
bring;tage med
happen;ske
next;Næste
without;uden
before;Før
large;stor
million;million
must;skal
home;hjem
under;under
water;vand
room;værelse
write;skrive
mother;mor
area;areal
national;national
money;penge
story;historie
young;ung
fact;faktum
month;måned
different;forskellige
lot;masse
study;undersøgelse
book;Bestil
eye;øje
job;job
word;ord
though;selvom
business;forretning
issue;problem
side;side
kind;venlig
four;fire
head;hoved
far;langt
black;sort
long;lang
both;begge
little;lille
house;hus
yes;Ja
since;siden
provide;give
service;service
around;rundt om
friend;ven
important;vigtig
father;far
sit;sidde
away;væk
until;så længe
power;strøm
hour;time
game;spil
often;tit
yet;endnu
line;linje
political;politisk
end;ende
among;blandt
ever;nogensinde
stand;stå
bad;dårligt
lose;tabe
however;imidlertid
member;medlem
pay;betale
law;lov
meet;møde
car;bil
city;by
almost;næsten
include;omfatte
continue;Blive ved
set;sæt
later;senere
community;fællesskab
name;navn
five;fem
once;enkelt gang
white;hvid
least;mindst
president;formand
learn;lære
real;ægte
change;lave om
team;hold
minute;minut
best;bedst
several;flere
idea;ide
kid;barn
body;legeme
information;Information
nothing;ikke noget
ago;siden
lead;at føre
social;social
understand;forstå
whether;om
watch;kigge på
together;sammen
follow;følge efter
parent;forælder
stop;hold op
face;ansigt
anything;hvad som helst
create;skab
public;offentlig
already;allerede
speak;tale
others;andre
read;Læs
level;niveau
allow;tillade
add;tilføje
office;kontor
spend;bruge
door;dør
health;sundhed
person;person
art;kunst
sure;jo da
war;krig
history;historie
party;parti
within;inden for
grow;dyrke
result;resultat
open;åben
morning;morgen
walk;gå
reason;grund
low;lav
win;vinde
research;forskning
girl;pige
guy;fyr
early;tidlig
food;mad
moment;øjeblik
himself;ham selv
air;luft
teacher;lærer
force;kraft
offer;tilbud
enough;nok
education;uddannelse
across;et kors
although;Selvom
remember;Husk
foot;fod
second;sekund
boy;dreng
maybe;måske
toward;imod
able;i stand
age;alder
policy;politik
everything;alt
love;kærlighed
process;behandle
music;musik
including;inklusive
consider;overveje
appear;komme til syne
actually;rent faktisk
buy;købe
probably;sandsynligvis
human;human
wait;vente
serve;tjene
market;marked
die;det
send;sende
expect;forventer
sense;følelse
build;bygge
stay;Bliv
fall;efterår
oh;åh
nation;nation
plan;plan
cut;skære
college;kollegium
interest;interesse
death;død
course;Rute
someone;nogen
experience;erfaring
behind;bag
reach;nå
local;lokal
kill;dræbe
six;seks
remain;forblive
effect;effekt
yeah;ja
suggest;antyder
class;klasse
control;styring
raise;hæve
care;omsorg
perhaps;måske
late;sent
hard;svært
field;Mark
else;andet
pass;passere
former;tidligere
sell;sælge
major;major
sometimes;Sommetider
require;kræve
along;langs med
development;udvikling
themselves;dem selv
report;rapport
role;rolle
better;bedre
economic;økonomisk
effort;indsats
decide;beslutte
rate;sats
strong;stærk
possible;muligt
heart;hjerte
drug;medicin
leader;leder
light;lys
voice;stemme
wife;kone
